VSWR(1) (GHz) EM Structure 1 Frequency	VSWR(1) EM Structure 1
1	175.825
1.01	173.041
1.02	170.241
1.03	167.426
1.04	164.598
1.05	161.759
1.06	158.91
1.07	156.053
1.08	153.189
1.09	150.319
1.1	147.445
1.11	144.568
1.12	141.688
1.13	138.807
1.14	135.925
1.15	133.043
1.16	130.162
1.17	127.282
1.18	124.403
1.19	121.528
1.2	118.654
1.21	115.784
1.22	112.918
1.23	110.055
1.24	107.196
1.25	104.342
1.26	101.493
1.27	98.649
1.28	95.8103
1.29	92.9775
1.3	90.1508
1.31	87.3308
1.32	84.5178
1.33	81.7125
1.34	78.9155
1.35	76.1273
1.36	73.3489
1.37	70.581
1.38	67.8247
1.39	65.0812
1.4	62.3516
1.41	59.6375
1.42	56.9403
1.43	54.262
1.44	51.6045
1.45	48.9699
1.46	46.3608
1.47	43.7798
1.48	41.2298
1.49	38.714
1.5	36.2359
1.51	33.7993
1.52	31.4081
1.53	29.0669
1.54	26.7801
1.55	24.5529
1.56	22.3904
1.57	20.2983
1.58	18.2823
1.59	16.3485
1.6	14.5031
1.61	12.7526
1.62	11.1032
1.63	9.56158
1.64	8.13379
1.65	6.82572
1.66	5.6426
1.67	4.58868
1.68	3.66671
1.69	2.87733
1.7	2.21829
1.71	1.68379
1.72	1.26512
1.73	1.08509
1.74	1.43957
1.75	1.92011
1.76	2.53391
1.77	3.29396
1.78	4.20929
1.79	5.28493
1.8	6.52243
1.81	7.92039
1.82	9.47496
1.83	11.1802
1.84	13.0283
1.85	15.01
1.86	17.1145
1.87	19.3302
1.88	21.6442
1.89	24.0428
1.9	26.5121
1.91	29.0374
1.92	31.6041
1.93	34.1973
1.94	36.8024
1.95	39.4053
1.96	41.9922
1.97	44.5499
1.98	47.0661
1.99	49.5291
2	51.9283
2.01	54.2542
2.02	56.498
2.03	58.6521
2.04	60.7099
2.05	62.666
2.06	64.5157
2.07	66.2556
2.08	67.8828
2.09	69.3956
2.1	70.793
2.11	72.0746
2.12	73.2409
2.13	74.2929
2.14	75.232
2.15	76.0603
2.16	76.7802
2.17	77.3943
2.18	77.9058
2.19	78.318
2.2	78.6343
2.21	78.8583
2.22	78.9939
2.23	79.0448
2.24	79.0149
2.25	78.9082
2.26	78.7284
2.27	78.4795
2.28	78.1652
2.29	77.7894
2.3	77.3556
2.31	76.8674
2.32	76.3284
2.33	75.7418
2.34	75.111
2.35	74.4392
2.36	73.7292
2.37	72.9841
2.38	72.2067
2.39	71.3995
2.4	70.5652
2.41	69.7061
2.42	68.8247
2.43	67.9229
2.44	67.003
2.45	66.0669
2.46	65.1163
2.47	64.1531
2.48	63.1789
2.49	62.1952
2.5	61.2035
2.51	60.2049
2.52	59.2009
2.53	58.1925
2.54	57.1808
2.55	56.1667
2.56	55.1511
2.57	54.1348
2.58	53.1186
2.59	52.103
2.6	51.0886
2.61	50.0759
2.62	49.0652
2.63	48.0569
2.64	47.0513
2.65	46.0484
2.66	45.0483
2.67	44.0511
2.68	43.0566
2.69	42.0645
2.7	41.0747
2.71	40.0867
2.72	39.0999
2.73	38.1136
2.74	37.1271
2.75	36.1394
2.76	35.1492
2.77	34.1553
2.78	33.156
2.79	32.1494
2.8	31.1333
2.81	30.1053
2.82	29.0623
2.83	28.001
2.84	26.9176
2.85	25.8077
2.86	24.6665
2.87	23.4885
2.88	22.2681
2.89	20.9995
2.9	19.6773
2.91	18.2974
2.92	16.8582
2.93	15.3627
2.94	13.8213
2.95	12.2554
2.96	10.7012
2.97	9.21253
2.98	7.86057
2.99	6.72759
3	5.89362
3.01	5.4168
3.02	5.31258
3.03	5.54284
3.04	6.02548
3.05	6.65955
3.06	7.34982
3.07	8.02155
3.08	8.62489
3.09	9.13254
3.1	9.53428
3.11	9.83117
3.12	10.0308
3.13	10.1437
3.14	10.1817
3.15	10.156
3.16	10.0771
3.17	9.95413
3.18	9.7952
3.19	9.60715
3.2	9.39585
3.21	9.16625
3.22	8.92254
3.23	8.66827
3.24	8.40646
3.25	8.13968
3.26	7.87013
3.27	7.59972
3.28	7.33009
3.29	7.06268
3.3	6.79875
3.31	6.53943
3.32	6.28573
3.33	6.03856
3.34	5.79876
3.35	5.56711
3.36	5.34432
3.37	5.13108
3.38	4.92806
3.39	4.73588
3.4	4.55521
3.41	4.38665
3.42	4.23085
3.43	4.08837
3.44	3.95979
3.45	3.84566
3.46	3.74656
3.47	3.66305
3.48	3.59569
3.49	3.545
3.5	3.51146
3.51	3.49547
3.52	3.49739
3.53	3.51745
3.54	3.55584
3.55	3.61264
3.56	3.68783
3.57	3.78136
3.58	3.89308
3.59	4.02279
3.6	4.17027
3.61	4.33521
3.62	4.51731
3.63	4.7162
3.64	4.93148
3.65	5.16273
3.66	5.40946
3.67	5.67115
3.68	5.94723
3.69	6.23709
3.7	6.54006
3.71	6.8554
3.72	7.18236
3.73	7.52011
3.74	7.86776
3.75	8.22439
3.76	8.58903
3.77	8.96067
3.78	9.33826
3.79	9.7207
3.8	10.1069
3.81	10.4957
3.82	10.886
3.83	11.2765
3.84	11.6662
3.85	12.0538
3.86	12.4382
3.87	12.8182
3.88	13.1927
3.89	13.5606
3.9	13.9208
3.91	14.2723
3.92	14.614
3.93	14.9449
3.94	15.2642
3.95	15.5709
3.96	15.8643
3.97	16.1434
3.98	16.4077
3.99	16.6564
4	16.8888
