DB(|PPC_TPwr(0,1)|)[*] (Deg) EM Structure 1 Angle	DB(|PPC_TPwr(0,1)|)[*] EM Structure 1
-90	-10.9942
-88	-10.8063
-86	-10.2877
-84	-9.54278
-82	-8.67998
-80	-7.77947
-78	-6.88985
-76	-6.03651
-74	-5.23074
-72	-4.47599
-70	-3.77169
-68	-3.11537
-66	-2.50382
-64	-1.9336
-62	-1.4014
-60	-0.904154
-58	-0.439064
-56	-0.00362862
-54	0.404379
-52	0.786932
-50	1.14578
-48	1.48246
-46	1.79834
-44	2.09463
-42	2.37241
-40	2.63262
-38	2.87612
-36	3.10364
-34	3.31586
-32	3.51337
-30	3.69671
-28	3.86633
-26	4.02266
-24	4.16606
-22	4.29687
-20	4.41537
-18	4.52181
-16	4.61643
-14	4.6994
-12	4.7709
-10	4.83106
-8	4.88
-6	4.9178
-4	4.94454
-2	4.96027
0	4.96501
2	4.95877
4	4.94153
6	4.91327
8	4.87392
10	4.82342
12	4.76166
14	4.68851
16	4.60384
18	4.50747
20	4.39919
22	4.27878
24	4.14596
26	4.00043
28	3.84185
30	3.66982
32	3.48391
34	3.28361
36	3.06838
38	2.83756
40	2.59046
42	2.32627
44	2.04408
46	1.74286
48	1.42143
50	1.07847
52	0.712461
54	0.321674
56	-0.095875
58	-0.542463
60	-1.02071
62	-1.53363
64	-2.0847
66	-2.67789
68	-3.31777
70	-4.00942
72	-4.7584
74	-5.57038
76	-6.45033
78	-7.40058
80	-8.41686
82	-9.48019
84	-10.5422
86	-11.504
88	-12.2055
90	-12.4673
