DB(|S(1,1)|) (GHz) EM Structure 1 Frequency	DB(|S(1,1)|) EM Structure 1
1	-0.0988026
1.01	-0.100392
1.02	-0.102043
1.03	-0.103759
1.04	-0.105542
1.05	-0.107395
1.06	-0.10932
1.07	-0.111322
1.08	-0.113403
1.09	-0.115568
1.1	-0.11782
1.11	-0.120165
1.12	-0.122608
1.13	-0.125153
1.14	-0.127806
1.15	-0.130575
1.16	-0.133466
1.17	-0.136486
1.18	-0.139644
1.19	-0.142948
1.2	-0.14641
1.21	-0.150039
1.22	-0.153849
1.23	-0.157851
1.24	-0.16206
1.25	-0.166493
1.26	-0.171168
1.27	-0.176103
1.28	-0.181321
1.29	-0.186846
1.3	-0.192705
1.31	-0.198928
1.32	-0.205549
1.33	-0.212607
1.34	-0.220143
1.35	-0.228207
1.36	-0.236852
1.37	-0.246142
1.38	-0.256146
1.39	-0.266946
1.4	-0.278634
1.41	-0.291317
1.42	-0.305119
1.43	-0.320183
1.44	-0.336675
1.45	-0.354793
1.46	-0.374766
1.47	-0.396868
1.48	-0.421423
1.49	-0.44882
1.5	-0.479529
1.51	-0.514119
1.52	-0.553285
1.53	-0.597885
1.54	-0.648984
1.55	-0.707917
1.56	-0.776374
1.57	-0.856518
1.58	-0.951146
1.59	-1.06392
1.6	-1.1997
1.61	-1.36502
1.62	-1.56882
1.63	-1.8235
1.64	-2.14661
1.65	-2.56349
1.66	-3.11154
1.67	-3.84749
1.68	-4.8607
1.69	-6.29984
1.7	-8.43748
1.71	-11.8765
1.72	-18.6329
1.73	-27.7848
1.74	-14.8857
1.75	-10.0312
1.76	-7.2491
1.77	-5.44544
1.78	-4.20739
1.79	-3.32714
1.8	-2.68456
1.81	-2.20507
1.82	-1.8403
1.83	-1.55797
1.84	-1.33602
1.85	-1.15907
1.86	-1.01619
1.87	-0.899489
1.88	-0.80318
1.89	-0.722952
1.9	-0.65555
1.91	-0.598491
1.92	-0.549853
1.93	-0.508132
1.94	-0.472144
1.95	-0.440943
1.96	-0.413769
1.97	-0.390005
1.98	-0.369149
1.99	-0.350787
2	-0.334575
2.01	-0.320229
2.02	-0.307508
2.03	-0.296212
2.04	-0.28617
2.05	-0.277236
2.06	-0.269286
2.07	-0.262213
2.08	-0.255927
2.09	-0.250347
2.1	-0.245405
2.11	-0.24104
2.12	-0.237201
2.13	-0.233842
2.14	-0.230923
2.15	-0.228408
2.16	-0.226266
2.17	-0.224471
2.18	-0.222997
2.19	-0.221823
2.2	-0.220931
2.21	-0.220303
2.22	-0.219925
2.23	-0.219783
2.24	-0.219866
2.25	-0.220164
2.26	-0.220666
2.27	-0.221366
2.28	-0.222256
2.29	-0.22333
2.3	-0.224583
2.31	-0.226009
2.32	-0.227606
2.33	-0.229368
2.34	-0.231295
2.35	-0.233383
2.36	-0.23563
2.37	-0.238036
2.38	-0.240599
2.39	-0.24332
2.4	-0.246197
2.41	-0.249232
2.42	-0.252424
2.43	-0.255776
2.44	-0.259288
2.45	-0.262962
2.46	-0.266802
2.47	-0.270808
2.48	-0.274985
2.49	-0.279335
2.5	-0.283862
2.51	-0.288571
2.52	-0.293466
2.53	-0.298552
2.54	-0.303836
2.55	-0.309323
2.56	-0.31502
