DB(|S(1,1)|) (GHz) EM Structure 1 Frequency	DB(|S(1,1)|) EM Structure 1
1	-0.0976535
1.01	-0.0983793
1.02	-0.0991359
1.03	-0.0999235
1.04	-0.100742
1.05	-0.101592
1.06	-0.102474
1.07	-0.103387
1.08	-0.104333
1.09	-0.105311
1.1	-0.106321
1.11	-0.107364
1.12	-0.108441
1.13	-0.109552
1.14	-0.110697
1.15	-0.111876
1.16	-0.113091
1.17	-0.114342
1.18	-0.115629
1.19	-0.116954
1.2	-0.118316
1.21	-0.119717
1.22	-0.121158
1.23	-0.122638
1.24	-0.124161
1.25	-0.125725
1.26	-0.127333
1.27	-0.128985
1.28	-0.130683
1.29	-0.132429
1.3	-0.134222
1.31	-0.136066
1.32	-0.137961
1.33	-0.13991
1.34	-0.141913
1.35	-0.143974
1.36	-0.146094
1.37	-0.148275
1.38	-0.15052
1.39	-0.152831
1.4	-0.155211
1.41	-0.157663
1.42	-0.16019
1.43	-0.162795
1.44	-0.165481
1.45	-0.168253
1.46	-0.171115
1.47	-0.174071
1.48	-0.177125
1.49	-0.180283
1.5	-0.183549
1.51	-0.186931
1.52	-0.190433
1.53	-0.194063
1.54	-0.197828
1.55	-0.201735
1.56	-0.205794
1.57	-0.210012
1.58	-0.2144
1.59	-0.218969
1.6	-0.223729
1.61	-0.228694
1.62	-0.233877
1.63	-0.239292
1.64	-0.244956
1.65	-0.250886
1.66	-0.257102
1.67	-0.263623
1.68	-0.270474
1.69	-0.277678
1.7	-0.285264
1.71	-0.293262
1.72	-0.301705
1.73	-0.310631
1.74	-0.320079
1.75	-0.330096
1.76	-0.340732
1.77	-0.352043
1.78	-0.364092
1.79	-0.376948
1.8	-0.39069
1.81	-0.405408
1.82	-0.4212
1.83	-0.438179
1.84	-0.456474
1.85	-0.476231
1.86	-0.497615
1.87	-0.520818
1.88	-0.546059
1.89	-0.573593
1.9	-0.603711
1.91	-0.636758
1.92	-0.673133
1.93	-0.713307
1.94	-0.757835
1.95	-0.807379
1.96	-0.862726
1.97	-0.924825
1.98	-0.994821
1.99	-1.07411
2	-1.16441
2.01	-1.26783
2.02	-1.38702
2.03	-1.5253
2.04	-1.68687
2.05	-1.87716
2.06	-2.10319
2.07	-2.37414
2.08	-2.70224
2.09	-3.10388
2.1	-3.60129
2.11	-4.22478
2.12	-5.01551
2.13	-6.02799
2.14	-7.3302
2.15	-9.00103
2.16	-11.1494
2.17	-14.0558
2.18	-18.6551
2.19	-27.2596
2.2	-20.9204
2.21	-14.6207
2.22	-10.9897
2.23	-8.57277
