DB(|S(1,1)|) (GHz) EM Structure 1 Frequency	DB(|S(1,1)|) EM Structure 1
1	-0.0961843
1.01	-0.0969786
1.02	-0.0978045
1.03	-0.0986624
1.04	-0.0995525
1.05	-0.100475
1.06	-0.10143
1.07	-0.102419
1.08	-0.10344
1.09	-0.104496
1.1	-0.105586
1.11	-0.106711
1.12	-0.107871
1.13	-0.109068
1.14	-0.1103
1.15	-0.11157
1.16	-0.112878
1.17	-0.114225
1.18	-0.115611
1.19	-0.117038
1.2	-0.118506
1.21	-0.120017
1.22	-0.121571
1.23	-0.12317
1.24	-0.124815
1.25	-0.126507
1.26	-0.128248
1.27	-0.13004
1.28	-0.131883
1.29	-0.133781
1.3	-0.135734
1.31	-0.137745
1.32	-0.139815
1.33	-0.141948
1.34	-0.144146
1.35	-0.146411
1.36	-0.148747
1.37	-0.151156
1.38	-0.153641
1.39	-0.156207
1.4	-0.158856
1.41	-0.161593
1.42	-0.164423
1.43	-0.16735
1.44	-0.170379
1.45	-0.173515
1.46	-0.176765
1.47	-0.180134
1.48	-0.183629
1.49	-0.187259
1.5	-0.19103
1.51	-0.194951
1.52	-0.199032
1.53	-0.203282
1.54	-0.207713
1.55	-0.212336
1.56	-0.217165
1.57	-0.222213
1.58	-0.227496
1.59	-0.233031
1.6	-0.238836
1.61	-0.24493
1.62	-0.251337
1.63	-0.258081
1.64	-0.265187
1.65	-0.272687
1.66	-0.280611
1.67	-0.288997
1.68	-0.297885
1.69	-0.307318
1.7	-0.317347
1.71	-0.328027
1.72	-0.33942
1.73	-0.351595
1.74	-0.364632
1.75	-0.378618
1.76	-0.393653
1.77	-0.409853
1.78	-0.427345
1.79	-0.446279
1.8	-0.465385
1.81	-0.489176
1.82	-0.513561
1.83	-0.540241
1.84	-0.569522
1.85	-0.601764
1.86	-0.637387
1.87	-0.676891
1.88	-0.72087
1.89	-0.770033
1.9	-0.825236
1.91	-0.887516
1.92	-0.958137
1.93	-1.03865
1.94	-1.13099
1.95	-1.23756
1.96	-1.36141
1.97	-1.50639
1.98	-1.67751
1.99	-1.88123
2	-2.10312
2.01	-2.42357
2.02	-2.78899
2.03	-3.24338
2.04	-3.81566
2.05	-4.54542
2.06	-5.48586
2.07	-6.7071
2.08	-8.31029
2.09	-10.494
2.1	-13.3744
2.11	-19.6376
2.12	-30.2307
2.13	-18.076
2.14	-12.687
2.15	-9.5408
2.16	-7.42941
2.17	-5.91985
2.18	-4.80144
2.19	-3.953
2.2	-3.35591
2.21	-2.78411
2.22	-2.3762
2.23	-2.04841
2.24	-1.78214
2.25	-1.56367
2.26	-1.38276
2.27	-1.23166
2.28	-1.10446
2.29	-0.996591
2.3	-0.914131
2.31	-0.825387
2.32	-0.757029
2.33	-0.697649
2.34	-0.645815
2.35	-0.600363
2.36	-0.560341
2.37	-0.524965
2.38	-0.493585
2.39	-0.46566
2.4	-0.440737
2.41	-0.418433
2.42	-0.398424
2.43	-0.380435
2.44	-0.364232
2.45	-0.349612
2.46	-0.3364
2.47	-0.324448
2.48	-0.313624
2.49	-0.303814
2.5	-0.29492
2.51	-0.286854
2.52	-0.27954
2.53	-0.27291
2.54	-0.266906
2.55	-0.261474
2.56	-0.256567
2.57	-0.252144
2.58	-0.248168
2.59	-0.244606
2.6	-0.241428
2.61	-0.238608
2.62	-0.236122
2.63	-0.233948
2.64	-0.232067
2.65	-0.230462
2.66	-0.229118
2.67	-0.228019
2.68	-0.227155
2.69	-0.226512
2.7	-0.226082
2.71	-0.225853
2.72	-0.225819
2.73	-0.225971
2.74	-0.226303
2.75	-0.226808
2.76	-0.227481
2.77	-0.228316
2.78	-0.22931
2.79	-0.230459
2.8	-0.231758
2.81	-0.233206
2.82	-0.234798
2.83	-0.236533
2.84	-0.238409
2.85	-0.240424
2.86	-0.242577
2.87	-0.244866
2.88	-0.24729
2.89	-0.24985
2.9	-0.252544
2.91	-0.255373
2.92	-0.258337
2.93	-0.261436
2.94	-0.264671
2.95	-0.268042
2.96	-0.271551
2.97	-0.275198
2.98	-0.278987
2.99	-0.282917
3	-0.286992
3.01	-0.291213
3.02	-0.295583
3.03	-0.300105
3.04	-0.304783
3.05	-0.309618
3.06	-0.314616
3.07	-0.319781
3.08	-0.325116
3.09	-0.330628
3.1	-0.336321
3.11	-0.342201
3.12	-0.348275
3.13	-0.354551
3.14	-0.361035
3.15	-0.367736
3.16	-0.374664
3.17	-0.381828
3.18	-0.389241
3.19	-0.396914
3.2	-0.404861
3.21	-0.413098
3.22	-0.421641
3.23	-0.430508
3.24	-0.439721
3.25	-0.449302
3.26	-0.459278
3.27	-0.469677
3.28	-0.480533
3.29	-0.491881
3.3	-0.503764
3.31	-0.51623
3.32	-0.529331
3.33	-0.543132
3.34	-0.557701
3.35	-0.573123
3.36	-0.589491
3.37	-0.606916
3.38	-0.625529
3.39	-0.645481
3.4	-0.666952
3.41	-0.690154
3.42	-0.715343
3.43	-0.742823
3.44	-0.772962
3.45	-0.806209
3.46	-0.84311
3.47	-0.884339
3.48	-0.93073
3.49	-0.983326
3.5	-1.04343
3.51	-1.1127
3.52	-1.19325
3.53	-1.28775
3.54	-1.39968
3.55	-1.53348
3.56	-1.69485
3.57	-1.89104
3.58	-2.13102
3.59	-2.42542
3.6	-2.78561
3.61	-3.22097
3.62	-3.73266
3.63	-4.30181
3.64	-4.87324
3.65	-5.34644
3.66	-5.60155
3.67	-5.57018
3.68	-5.28807
3.69	-4.86188
3.7	-4.39642
3.71	-3.95739
3.72	-3.57364
3.73	-3.25165
3.74	-2.98741
3.75	-2.77316
3.76	-2.60069
3.77	-2.46255
3.78	-2.35251
3.79	-2.26547
3.8	-2.19737
3.81	-2.14498
3.82	-2.10574
3.83	-2.07764
3.84	-2.05904
3.85	-2.04869
3.86	-2.04553
3.87	-2.04877
3.88	-2.05774
3.89	-2.0719
3.9	-2.09084
3.91	-2.11421
3.92	-2.14174
3.93	-2.17321
3.94	-2.20844
3.95	-2.24729
3.96	-2.28966
