DB(|S(1,1)|) (GHz) EM Structure 1 Frequency	DB(|S(1,1)|) EM Structure 1
1	-0.111801
1.01	-0.112675
1.02	-0.113581
1.03	-0.114517
1.04	-0.115486
1.05	-0.116485
1.06	-0.117516
1.07	-0.118578
1.08	-0.119671
1.09	-0.120796
1.1	-0.121952
1.11	-0.12314
1.12	-0.12436
1.13	-0.125612
1.14	-0.126895
1.15	-0.128211
1.16	-0.12956
1.17	-0.130942
1.18	-0.132356
1.19	-0.133805
1.2	-0.135287
1.21	-0.136803
1.22	-0.138355
1.23	-0.139942
1.24	-0.141564
1.25	-0.143223
1.26	-0.14492
1.27	-0.146654
1.28	-0.148427
1.29	-0.150239
1.3	-0.152092
1.31	-0.153986
1.32	-0.155923
1.33	-0.157902
1.34	-0.159927
1.35	-0.161998
1.36	-0.164116
1.37	-0.166282
1.38	-0.1685
1.39	-0.170769
1.4	-0.173092
1.41	-0.175471
1.42	-0.177907
1.43	-0.180404
1.44	-0.182963
1.45	-0.185587
1.46	-0.188279
1.47	-0.191041
1.48	-0.193877
1.49	-0.19679
1.5	-0.199783
1.51	-0.20286
1.52	-0.206026
1.53	-0.209284
1.54	-0.21264
1.55	-0.216098
1.56	-0.219663
1.57	-0.223343
1.58	-0.227141
1.59	-0.231066
1.6	-0.235125
1.61	-0.239325
1.62	-0.243674
1.63	-0.248182
1.64	-0.252858
1.65	-0.257712
1.66	-0.262757
1.67	-0.268004
1.68	-0.273466
1.69	-0.279159
1.7	-0.285097
1.71	-0.291298
1.72	-0.29778
1.73	-0.304564
1.74	-0.311671
1.75	-0.319127
1.76	-0.326956
1.77	-0.335189
1.78	-0.343858
1.79	-0.352997
1.8	-0.362645
1.81	-0.372846
1.82	-0.383646
1.83	-0.395099
1.84	-0.407262
1.85	-0.420202
1.86	-0.433991
1.87	-0.44871
1.88	-0.464451
1.89	-0.481318
1.9	-0.499426
1.91	-0.518907
1.92	-0.539911
1.93	-0.562607
1.94	-0.58719
1.95	-0.613883
1.96	-0.642942
1.97	-0.674665
1.98	-0.709394
1.99	-0.74753
2	-0.789543
2.01	-0.835982
2.02	-0.8875
2.03	-0.94487
2.04	-1.00902
2.05	-1.08105
2.06	-1.16231
2.07	-1.25444
2.08	-1.35944
2.09	-1.47978
2.1	-1.61854
2.11	-1.77959
2.12	-1.96784
2.13	-2.18953
2.14	-2.45275
2.15	-2.76804
2.16	-3.14925
2.17	-3.61474
2.18	-4.1889
2.19	-4.90396
2.2	-5.80169
2.21	-6.93517
2.22	-8.37535
2.23	-10.2411
2.24	-12.7783
2.25	-16.4685
2.26	-21.2021
2.27	-19.6235
2.28	-14.7586
2.29	-11.3438
2.3	-8.9643
2.31	-7.22937
2.32	-5.92289
2.33	-4.91687
2.34	-4.1293
2.35	-3.50447
2.36	-3.00305
2.37	-2.59652
2.38	-2.26381
2.39	-1.98912
2.4	-1.76047
2.41	-1.56868
2.42	-1.40665
2.43	-1.26886
2.44	-1.15093
2.45	-1.04941
2.46	-0.961553
2.47	-0.885126
2.48	-0.818332
2.49	-0.759701
2.5	-0.708027
2.51	-0.662313
2.52	-0.621732
2.53	-0.585591
2.54	-0.553311
2.55	-0.5244
2.56	-0.498442
2.57	-0.475085
2.58	-0.454024
2.59	-0.434999
2.6	-0.417786
2.61	-0.402191
2.62	-0.388045
2.63	-0.375201
2.64	-0.36353
2.65	-0.352921
2.66	-0.343272
2.67	-0.334498
2.68	-0.326521
2.69	-0.319273
2.7	-0.312692
2.71	-0.306724
2.72	-0.301322
2.73	-0.296441
2.74	-0.292043
2.75	-0.288094
2.76	-0.284562
2.77	-0.281419
2.78	-0.27864
2.79	-0.276201
2.8	-0.274082
2.81	-0.272264
2.82	-0.27073
2.83	-0.269465
2.84	-0.268454
2.85	-0.267686
2.86	-0.267147
2.87	-0.266828
2.88	-0.266719
2.89	-0.266811
2.9	-0.267097
2.91	-0.267568
2.92	-0.268219
2.93	-0.269042
2.94	-0.270033
2.95	-0.271187
2.96	-0.272499
2.97	-0.273965
2.98	-0.275581
2.99	-0.277344
3	-0.27925
3.01	-0.281298
3.02	-0.283484
3.03	-0.285806
3.04	-0.288262
3.05	-0.290851
3.06	-0.293572
3.07	-0.296422
3.08	-0.299401
3.09	-0.302509
3.1	-0.305744
3.11	-0.309106
3.12	-0.312596
3.13	-0.316212
3.14	-0.319955
3.15	-0.323826
3.16	-0.327824
3.17	-0.331951
3.18	-0.336208
3.19	-0.340595
3.2	-0.345114
3.21	-0.349766
3.22	-0.354554
3.23	-0.359478
3.24	-0.364542
3.25	-0.369748
3.26	-0.375098
3.27	-0.380595
3.28	-0.386243
3.29	-0.392046
3.3	-0.398007
3.31	-0.404131
3.32	-0.410422
3.33	-0.416887
3.34	-0.423531
3.35	-0.43036
3.36	-0.437381
3.37	-0.444602
3.38	-0.452033
3.39	-0.459681
3.4	-0.467557
3.41	-0.475673
3.42	-0.48404
3.43	-0.492674
3.44	-0.501589
3.45	-0.510802
3.46	-0.520332
3.47	-0.5302
3.48	-0.54043
3.49	-0.551048
3.5	-0.562084
3.51	-0.57357
3.52	-0.585544
3.53	-0.598049
3.54	-0.611133
3.55	-0.624851
3.56	-0.639264
3.57	-0.654445
3.58	-0.670477
3.59	-0.687454
3.6	-0.705487
3.61	-0.724705
3.62	-0.745258
3.63	-0.767322
3.64	-0.791105
3.65	-0.816855
3.66	-0.844866
3.67	-0.87549
3.68	-0.909152
3.69	-0.946365
3.7	-0.987755
3.71	-1.03409
3.72	-1.0863
3.73	-1.14557
3.74	-1.21333
3.75	-1.29139
3.76	-1.382
3.77	-1.48797
3.78	-1.6128
3.79	-1.76077
3.8	-1.93705
3.81	-2.14761
3.82	-2.39882
3.83	-2.69636
3.84	-3.04289
3.85	-3.4338
3.86	-3.85071
3.87	-4.25483
3.88	-4.58642
3.89	-4.78006
3.9	-4.79555
3.91	-4.64199
3.92	-4.37033
3.93	-4.0432
3.94	-3.71038
3.95	-3.40152
3.96	-3.12981
3.97	-2.89827
3.98	-2.70473
3.99	-2.54491
4	-2.41401
