VSWR(1) (GHz) EM Structure 1 Frequency	VSWR(1) EM Structure 1
1	155.383
1.01	154.178
1.02	152.949
1.03	151.698
1.04	150.426
1.05	149.135
1.06	147.827
1.07	146.503
1.08	145.165
1.09	143.813
1.1	142.45
1.11	141.075
1.12	139.692
1.13	138.3
1.14	136.901
1.15	135.496
1.16	134.085
1.17	132.671
1.18	131.253
1.19	129.832
1.2	128.41
1.21	126.986
1.22	125.562
1.23	124.139
1.24	122.716
1.25	121.294
1.26	119.875
1.27	118.457
1.28	117.042
1.29	115.63
1.3	114.222
1.31	112.817
1.32	111.416
1.33	110.019
1.34	108.626
1.35	107.238
1.36	105.854
1.37	104.475
1.38	103.1
1.39	101.73
1.4	100.365
1.41	99.0044
1.42	97.6485
1.43	96.2972
1.44	94.9503
1.45	93.6079
1.46	92.2698
1.47	90.9358
1.48	89.6058
1.49	88.2796
1.5	86.9571
1.51	85.6381
1.52	84.3224
1.53	83.0097
1.54	81.6999
1.55	80.3926
1.56	79.0878
1.57	77.7852
1.58	76.4844
1.59	75.1854
1.6	73.8877
1.61	72.5913
1.62	71.2958
1.63	70.001
1.64	68.7067
1.65	67.4126
1.66	66.1185
1.67	64.8243
1.68	63.5296
1.69	62.2343
1.7	60.9383
1.71	59.6413
1.72	58.3433
1.73	57.044
1.74	55.7435
1.75	54.4415
1.76	53.1381
1.77	51.8332
1.78	50.5269
1.79	49.2191
1.8	47.9099
1.81	46.5996
1.82	45.2881
1.83	43.9758
1.84	42.6628
1.85	41.3496
1.86	40.0363
1.87	38.7236
1.88	37.4117
1.89	36.1013
1.9	34.7931
1.91	33.4876
1.92	32.1856
1.93	30.8881
1.94	29.5959
1.95	28.31
1.96	27.0315
1.97	25.7617
1.98	24.5018
1.99	23.2532
2	22.0175
2.01	20.7961
2.02	19.5909
2.03	18.4035
2.04	17.2359
2.05	16.0901
2.06	14.9682
2.07	13.8723
2.08	12.8047
2.09	11.7678
2.1	10.764
2.11	9.79578
2.12	8.86559
2.13	7.97599
2.14	7.12956
2.15	6.32886
2.16	5.57646
2.17	4.87498
2.18	4.22716
2.19	3.636
2.2	3.10477
2.21	2.63656
2.22	2.23243
2.23	1.88839
2.24	1.59626
2.25	1.3534
2.26	1.19076
2.27	1.23321
2.28	1.4475
2.29	1.74311
2.3	2.10692
2.31	2.54009
2.32	3.04577
2.33	3.62694
2.34	4.28589
2.35	5.0241
2.36	5.84222
2.37	6.74014
2.38	7.71707
2.39	8.77153
2.4	9.90146
2.41	11.1042
2.42	12.3767
2.43	13.7152
2.44	15.1158
2.45	16.574
2.46	18.0848
2.47	19.6433
2.48	21.244
2.49	22.8812
2.5	24.5491
2.51	26.2417
2.52	27.9529
2.53	29.6766
2.54	31.4067
2.55	33.1371
2.56	34.8617
2.57	36.5748
2.58	38.2706
2.59	39.9436
2.6	41.5886
2.61	43.2006
2.62	44.7749
2.63	46.3071
2.64	47.7933
2.65	49.2297
2.66	50.613
2.67	51.9402
2.68	53.2089
2.69	54.4166
2.7	55.5616
2.71	56.6424
2.72	57.6577
2.73	58.6068
2.74	59.4892
2.75	60.3045
2.76	61.0528
2.77	61.7346
2.78	62.3503
2.79	62.9008
2.8	63.387
2.81	63.8102
2.82	64.1716
2.83	64.4729
2.84	64.7155
2.85	64.9013
2.86	65.0322
2.87	65.1099
2.88	65.1365
2.89	65.114
2.9	65.0444
2.91	64.9299
2.92	64.7724
2.93	64.5741
2.94	64.3371
2.95	64.0634
2.96	63.755
2.97	63.414
2.98	63.0422
2.99	62.6415
3	62.214
3.01	61.7612
3.02	61.2851
3.03	60.7873
3.04	60.2694
3.05	59.733
3.06	59.1796
3.07	58.6106
3.08	58.0275
3.09	57.4315
3.1	56.8239
3.11	56.2059
3.12	55.5787
3.13	54.9432
3.14	54.3006
3.15	53.6517
3.16	52.9974
3.17	52.3387
3.18	51.6762
3.19	51.0107
3.2	50.343
3.21	49.6735
3.22	49.003
3.23	48.3319
3.24	47.6607
3.25	46.9899
3.26	46.3199
3.27	45.651
3.28	44.9837
3.29	44.3181
3.3	43.6546
3.31	42.9933
3.32	42.3345
3.33	41.6782
3.34	41.0247
3.35	40.374
3.36	39.7261
3.37	39.0811
3.38	38.439
3.39	37.7998
3.4	37.1633
3.41	36.5296
3.42	35.8984
3.43	35.2696
3.44	34.6431
3.45	34.0186
3.46	33.3959
3.47	32.7747
3.48	32.1547
3.49	31.5355
3.5	30.9168
3.51	30.2981
3.52	29.679
3.53	29.0589
3.54	28.4372
3.55	27.8135
3.56	27.1869
3.57	26.5568
3.58	25.9224
3.59	25.2829
3.6	24.6373
3.61	23.9847
3.62	23.3241
3.63	22.6542
3.64	21.9741
3.65	21.2823
3.66	20.5778
3.67	19.8591
3.68	19.1251
3.69	18.3745
3.7	17.6061
3.71	16.819
3.72	16.0125
3.73	15.1863
3.74	14.3407
3.75	13.4768
3.76	12.5965
3.77	11.7033
3.78	10.8021
3.79	9.89978
3.8	9.00531
3.81	8.13006
3.82	7.28778
3.83	6.49434
3.84	5.76723
3.85	5.12477
3.86	4.58497
3.87	4.16416
3.88	3.87525
3.89	3.72548
3.9	3.71404
3.91	3.83096
3.92	4.05844
3.93	4.37385
3.94	4.75292
3.95	5.17217
3.96	5.61035
3.97	6.04935
3.98	6.47455
3.99	6.87486
4	7.24249
