DB(|S(1,1)|) (GHz) EM Structure 1 Frequency	DB(|S(1,1)|) EM Structure 1
1	-0.127868
1.01	-0.127917
1.02	-0.127993
1.03	-0.128095
1.04	-0.128225
1.05	-0.128381
1.06	-0.128562
1.07	-0.12877
1.08	-0.129004
1.09	-0.129263
1.1	-0.129547
1.11	-0.129856
1.12	-0.13019
1.13	-0.130549
1.14	-0.130932
1.15	-0.131339
1.16	-0.131771
1.17	-0.132226
1.18	-0.132705
1.19	-0.133207
1.2	-0.133733
1.21	-0.134282
1.22	-0.134853
1.23	-0.135448
1.24	-0.136065
1.25	-0.136704
1.26	-0.137366
1.27	-0.138049
1.28	-0.138755
1.29	-0.139482
1.3	-0.140231
1.31	-0.141002
1.32	-0.141794
1.33	-0.142607
1.34	-0.143441
1.35	-0.144296
1.36	-0.145172
1.37	-0.146069
1.38	-0.146987
1.39	-0.147925
1.4	-0.148883
1.41	-0.149862
1.42	-0.150861
1.43	-0.151881
1.44	-0.152921
1.45	-0.15398
1.46	-0.15506
1.47	-0.15616
1.48	-0.15728
1.49	-0.15842
1.5	-0.159581
1.51	-0.160761
1.52	-0.161961
1.53	-0.163181
1.54	-0.164421
1.55	-0.165682
1.56	-0.166962
1.57	-0.168263
1.58	-0.169584
1.59	-0.170926
1.6	-0.172288
1.61	-0.173671
1.62	-0.175075
1.63	-0.1765
1.64	-0.177946
1.65	-0.179413
1.66	-0.180902
1.67	-0.182413
1.68	-0.183946
1.69	-0.185501
1.7	-0.187079
1.71	-0.188679
1.72	-0.190303
1.73	-0.191951
1.74	-0.193622
1.75	-0.195318
1.76	-0.197039
1.77	-0.198786
1.78	-0.200558
1.79	-0.202356
1.8	-0.204182
1.81	-0.206035
1.82	-0.207916
1.83	-0.209826
1.84	-0.211766
1.85	-0.213736
1.86	-0.215737
1.87	-0.21777
1.88	-0.219836
1.89	-0.221936
1.9	-0.22407
1.91	-0.226241
1.92	-0.228448
1.93	-0.230694
1.94	-0.232979
1.95	-0.235304
1.96	-0.237672
1.97	-0.240083
1.98	-0.242539
1.99	-0.245041
2	-0.247592
2.01	-0.250193
2.02	-0.252845
2.03	-0.255552
2.04	-0.258314
2.05	-0.261134
2.06	-0.264015
2.07	-0.266959
2.08	-0.269968
2.09	-0.273045
2.1	-0.276192
2.11	-0.279414
2.12	-0.282713
2.13	-0.286092
2.14	-0.289555
2.15	-0.293106
2.16	-0.296748
2.17	-0.300486
2.18	-0.304325
2.19	-0.308268
2.2	-0.31232
2.21	-0.316488
2.22	-0.320776
2.23	-0.32519
2.24	-0.329737
2.25	-0.334422
2.26	-0.339254
2.27	-0.344239
2.28	-0.349385
2.29	-0.354701
2.3	-0.360195
2.31	-0.365878
2.32	-0.371758
2.33	-0.377848
2.34	-0.384157
2.35	-0.3907
2.36	-0.397488
2.37	-0.404536
2.38	-0.411858
2.39	-0.419472
2.4	-0.427393
2.41	-0.435641
2.42	-0.444236
2.43	-0.453198
2.44	-0.462551
2.45	-0.47232
2.46	-0.482531
2.47	-0.493213
2.48	-0.504398
2.49	-0.516119
2.5	-0.528414
2.51	-0.541321
2.52	-0.554884
2.53	-0.56915
2.54	-0.58417
2.55	-0.600001
2.56	-0.616703
2.57	-0.634343
2.58	-0.652994
2.59	-0.672737
2.6	-0.693661
2.61	-0.715862
2.62	-0.739449
2.63	-0.76454
2.64	-0.791267
2.65	-0.819776
2.66	-0.850229
2.67	-0.882807
2.68	-0.917712
2.69	-0.95517
2.7	-0.995435
2.71	-1.03879
2.72	-1.08556
2.73	-1.1361
2.74	-1.19082
2.75	-1.2502
2.76	-1.31475
2.77	-1.38508
2.78	-1.46189
2.79	-1.54596
2.8	-1.63821
2.81	-1.73968
2.82	-1.8516
2.83	-1.97536
2.84	-2.11261
2.85	-2.26526
2.86	-2.43554
2.87	-2.62606
2.88	-2.83989
2.89	-3.08063
2.9	-3.35251
2.91	-3.66052
2.92	-4.01051
2.93	-4.40928
2.94	-4.86475
2.95	-5.38589
2.96	-5.98262
2.97	-6.66512
2.98	-7.44231
2.99	-8.31805
3	-9.28305
3.01	-10.2986
3.02	-11.269
3.03	-12.0169
3.04	-12.3177
3.05	-12.0467
3.06	-11.2987
3.07	-10.2963
3.08	-9.23085
3.09	-8.21062
3.1	-7.28156
3.11	-6.45628
3.12	-5.73214
3.13	-5.10043
3.14	-4.55064
3.15	-4.0723
3.16	-3.65576
3.17	-3.29246
3.18	-2.97492
3.19	-2.69671
3.2	-2.45233
3.21	-2.23708
3.22	-2.04695
3.23	-1.87854
3.24	-1.72895
3.25	-1.59571
3.26	-1.47671
3.27	-1.37014
3.28	-1.27447
3.29	-1.18835
3.3	-1.11065
3.31	-1.04039
3.32	-0.97671
3.33	-0.918873
3.34	-0.866235
3.35	-0.818238
3.36	-0.774391
3.37	-0.734266
3.38	-0.697487
3.39	-0.663722
3.4	-0.632679
3.41	-0.604099
3.42	-0.577753
3.43	-0.553437
3.44	-0.530971
3.45	-0.510192
3.46	-0.490956
3.47	-0.473134
3.48	-0.456609
3.49	-0.441277
3.5	-0.427044
3.51	-0.413824
3.52	-0.401542
3.53	-0.390127
3.54	-0.379517
3.55	-0.369654
3.56	-0.360487
3.57	-0.351967
3.58	-0.344053
3.59	-0.336704
3.6	-0.329884
3.61	-0.32356
3.62	-0.317701
3.63	-0.312281
3.64	-0.307273
3.65	-0.302654
3.66	-0.298401
3.67	-0.294496
3.68	-0.29092
3.69	-0.287654
3.7	-0.284685
3.71	-0.281996
3.72	-0.279575
3.73	-0.277409
3.74	-0.275486
3.75	-0.273795
3.76	-0.272326
3.77	-0.271071
3.78	-0.270019
3.79	-0.269163
3.8	-0.268496
3.81	-0.268009
