VSWR(1) (GHz) EM Structure 1 Frequency	VSWR(1) EM Structure 1
1	135.86
1.01	135.808
1.02	135.727
1.03	135.618
1.04	135.482
1.05	135.317
1.06	135.126
1.07	134.908
1.08	134.664
1.09	134.394
1.1	134.099
1.11	133.78
1.12	133.436
1.13	133.07
1.14	132.68
1.15	132.269
1.16	131.836
1.17	131.382
1.18	130.908
1.19	130.414
1.2	129.901
1.21	129.371
1.22	128.822
1.23	128.257
1.24	127.675
1.25	127.078
1.26	126.466
1.27	125.84
1.28	125.2
1.29	124.547
1.3	123.882
1.31	123.205
1.32	122.517
1.33	121.819
1.34	121.11
1.35	120.392
1.36	119.666
1.37	118.931
1.38	118.189
1.39	117.44
1.4	116.683
1.41	115.921
1.42	115.154
1.43	114.381
1.44	113.603
1.45	112.821
1.46	112.035
1.47	111.246
1.48	110.454
1.49	109.659
1.5	108.862
1.51	108.063
1.52	107.262
1.53	106.46
1.54	105.657
1.55	104.853
1.56	104.049
1.57	103.245
1.58	102.441
1.59	101.637
1.6	100.833
1.61	100.03
1.62	99.228
1.63	98.4271
1.64	97.6273
1.65	96.8289
1.66	96.032
1.67	95.2368
1.68	94.4433
1.69	93.6516
1.7	92.8618
1.71	92.0741
1.72	91.2884
1.73	90.505
1.74	89.7237
1.75	88.9446
1.76	88.1678
1.77	87.3934
1.78	86.6212
1.79	85.8514
1.8	85.0839
1.81	84.3188
1.82	83.5559
1.83	82.7954
1.84	82.0371
1.85	81.281
1.86	80.5271
1.87	79.7754
1.88	79.0257
1.89	78.2781
1.9	77.5325
1.91	76.7888
1.92	76.0469
1.93	75.3067
1.94	74.5682
1.95	73.8314
1.96	73.096
1.97	72.362
1.98	71.6294
1.99	70.898
2	70.1677
2.01	69.4384
2.02	68.71
2.03	67.9825
2.04	67.2556
2.05	66.5293
2.06	65.8035
2.07	65.0781
2.08	64.3528
2.09	63.6278
2.1	62.9027
2.11	62.1775
2.12	61.4521
2.13	60.7264
2.14	60.0002
2.15	59.2735
2.16	58.5461
2.17	57.8179
2.18	57.0889
2.19	56.3588
2.2	55.6277
2.21	54.8953
2.22	54.1617
2.23	53.4267
2.24	52.6901
2.25	51.9521
2.26	51.2124
2.27	50.4709
2.28	49.7277
2.29	48.9827
2.3	48.2357
2.31	47.4868
2.32	46.7358
2.33	45.9829
2.34	45.2278
2.35	44.4707
2.36	43.7116
2.37	42.9503
2.38	42.1869
2.39	41.4215
2.4	40.6541
2.41	39.8847
2.42	39.1134
2.43	38.3403
2.44	37.5653
2.45	36.7888
2.46	36.0106
2.47	35.2311
2.48	34.4503
2.49	33.6684
2.5	32.8855
2.51	32.1019
2.52	31.3177
2.53	30.5333
2.54	29.7487
2.55	28.9644
2.56	28.1806
2.57	27.3977
2.58	26.6158
2.59	25.8354
2.6	25.0569
2.61	24.2807
2.62	23.507
2.63	22.7365
2.64	21.9696
2.65	21.2066
2.66	20.4482
2.67	19.6948
2.68	18.9471
2.69	18.2054
2.7	17.4705
2.71	16.743
2.72	16.0235
2.73	15.3125
2.74	14.6109
2.75	13.9192
2.76	13.2382
2.77	12.5686
2.78	11.9111
2.79	11.2665
2.8	10.6355
2.81	10.019
2.82	9.41755
2.83	8.8321
2.84	8.26338
2.85	7.71219
2.86	7.17929
2.87	6.66546
2.88	6.17146
2.89	5.69803
2.9	5.24589
2.91	4.81574
2.92	4.40825
2.93	4.02407
2.94	3.66381
2.95	3.32811
2.96	3.01761
2.97	2.73302
2.98	2.47528
2.99	2.24567
3	2.04617
3.01	1.87995
3.02	1.75196
3.03	1.66916
3.04	1.63911
3.05	1.66611
3.06	1.74843
3.07	1.88028
3.08	2.0558
3.09	2.27102
3.1	2.52383
3.11	2.81344
3.12	3.13979
3.13	3.50325
3.14	3.90436
3.15	4.34369
3.16	4.82183
3.17	5.33926
3.18	5.89639
3.19	6.4935
3.2	7.13078
3.21	7.80827
3.22	8.52591
3.23	9.28351
3.24	10.0807
3.25	10.9171
3.26	11.7922
3.27	12.7051
3.28	13.6551
3.29	14.6412
3.3	15.6624
3.31	16.7173
3.32	17.8047
3.33	18.9232
3.34	20.071
3.35	21.2464
3.36	22.4477
3.37	23.6728
3.38	24.9196
3.39	26.186
3.4	27.4696
3.41	28.7681
3.42	30.0789
3.43	31.3995
3.44	32.7272
3.45	34.0593
3.46	35.393
3.47	36.7255
3.48	38.0539
3.49	39.3755
3.5	40.6874
3.51	41.9866
3.52	43.2704
3.53	44.536
3.54	45.7807
3.55	47.0018
3.56	48.1967
3.57	49.363
3.58	50.4982
3.59	51.6001
3.6	52.6667
3.61	53.6958
3.62	54.6857
3.63	55.6347
3.64	56.5412
3.65	57.404
3.66	58.2219
3.67	58.9938
3.68	59.7189
3.69	60.3967
3.7	61.0266
3.71	61.6083
3.72	62.1418
3.73	62.6269
3.74	63.064
3.75	63.4534
3.76	63.7955
3.77	64.091
3.78	64.3406
3.79	64.5451
3.8	64.7056
3.81	64.823
3.82	64.8985
3.83	64.9334
3.84	64.9289
3.85	64.8863
3.86	64.807
3.87	64.6925
3.88	64.5442
3.89	64.3636
3.9	64.1521
3.91	63.9113
3.92	63.6426
3.93	63.3476
3.94	63.0277
3.95	62.6843
3.96	62.3189
3.97	61.9329
3.98	61.5277
3.99	61.1045
4	60.6648
