        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.13710332
                   1.003                     -0.13181983
                   1.006                     -0.12477827
               1.0089999                     -0.11649841
                   1.012                     -0.10757424
                   1.015                    -0.098635603
                   1.018                    -0.090304351
                   1.021                    -0.083155698
                   1.024                    -0.077679828
                   1.027                    -0.074251733
                    1.03                    -0.073114051
                   1.033                    -0.074354536
                   1.036                    -0.077910955
                   1.039                    -0.083570763
               1.0420001                    -0.090985656
                   1.045                    -0.099694038
                   1.048                     -0.10915146
                   1.051                     -0.11876317
                   1.054                     -0.12792562
                   1.057                     -0.13606499
               1.0599999                     -0.14267535
                   1.063                      -0.1473564
                   1.066                     -0.14983739
                   1.069                     -0.14999792
                   1.072                     -0.14787709
                   1.075                     -0.14366521
               1.0779999                     -0.13769416
                   1.081                     -0.13041058
                   1.084                     -0.12234418
                   1.087                     -0.11407012
                    1.09                      -0.1061725
               1.0930001                    -0.099203438
                   1.096                    -0.093647722
                   1.099                    -0.089896191
                   1.102                     -0.08821608
                   1.105                    -0.088739806
                   1.108                    -0.091458861
               1.1109999                    -0.096218451
                   1.114                     -0.10273516
                   1.117                     -0.11061097
                    1.12                     -0.11935773
                   1.123                      -0.1284321
                   1.126                     -0.13726721
               1.1289999                      -0.1453116
                   1.132                      -0.1520663
                   1.135                     -0.15711889
                   1.138                      -0.1601745
                   1.141                     -0.16107071
               1.1440001                      -0.1597942
                   1.147                     -0.15647831
                    1.15                     -0.15139272
                   1.153                     -0.14492682
                   1.156                     -0.13755738
                   1.159                     -0.12981865
               1.1619999                     -0.12226432
                   1.165                      -0.1154311
                   1.168                     -0.10980483
                   1.171                     -0.10578853
                   1.174                     -0.10367624
                   1.177                     -0.10364077
               1.1799999                     -0.10571396
                   1.183                     -0.10979629
                   1.186                      -0.1156554
                   1.189                     -0.12294308
                   1.192                     -0.13121867
               1.1950001                      -0.1399748
                   1.198                     -0.14867121
                   1.201                        -0.15677
                   1.204                      -0.1637739
                   1.207                     -0.16925538
                    1.21                     -0.17289194
               1.2130001                     -0.17448405
                   1.216                     -0.17397138
                   1.219                     -0.17143858
                   1.222                     -0.16710572
                   1.225                      -0.1613134
                   1.228                     -0.15449937
               1.2309999                     -0.14716753
                   1.234                     -0.13985275
                   1.237                     -0.13308717
                    1.24                     -0.12736213
                   1.243                     -0.12309783
               1.2460001                     -0.12062126
                   1.249                     -0.12013689
                   1.252                     -0.12172437
                   1.255                     -0.12532567
                   1.258                     -0.13075504
                   1.261                     -0.13770384
               1.2640001                     -0.14576611
                   1.267                     -0.15446067
                    1.27                     -0.16326309
                   1.273                     -0.17163703
                   1.276                     -0.17907554
                   1.279                     -0.18513061
               1.2819999                     -0.18944742
                   1.285                     -0.19178694
                   1.288                     -0.19204545
                   1.291                     -0.19026226
                   1.294                     -0.18661245
               1.2970001                      -0.1814001
                     1.3                     -0.17503449
                   1.303                     -0.16800191
                   1.306                     -0.16082995
                   1.309                     -0.15405687
                   1.312                     -0.14819224
               1.3150001                     -0.14368558
                   1.318                     -0.14089649
                   1.321                     -0.14007278
                   1.324                     -0.14133636
                   1.327                     -0.14467332
                    1.33                     -0.14993576
               1.3329999                     -0.15684995
                   1.336                     -0.16503418
                   1.339                     -0.17401987
                   1.342                     -0.18328378
                   1.345                     -0.19227948
                   1.348                     -0.20047573
                   1.351                     -0.20739221
                   1.354                     -0.21263228
                   1.357                     -0.21591005
                    1.36                      -0.2170742
                   1.363                     -0.21611782
               1.3660001                      -0.2131779
                   1.369                     -0.20853081
                   1.372                     -0.20256603
                   1.375                     -0.19576725
                   1.378                     -0.18867297
                   1.381                     -0.18184473
               1.3839999                     -0.17582432
                   1.387                     -0.17110668
                    1.39                     -0.16809984
                   1.393                     -0.16710509
                   1.396                     -0.16829196
                   1.399                     -0.17169401
                   1.402                     -0.17720162
                   1.405                     -0.18456597
                   1.408                     -0.19342136
                   1.411                      -0.2032954
                   1.414                     -0.21364975
               1.4170001                     -0.22390679
                    1.42                     -0.23349104
                   1.423                     -0.24186717
                   1.426                      -0.2485759
                   1.429                     -0.25327175
                   1.432                     -0.25574195
               1.4349999                      -0.2559295
                   1.438                     -0.25393389
                   1.441                     -0.25000892
                   1.444                     -0.24454094
                   1.447                     -0.23803117
                    1.45                      -0.2310523
               1.4529999                     -0.22421634
                   1.456                     -0.21813166
                   1.459                     -0.21336217
                   1.462                     -0.21039629
                   1.465                     -0.20960674
               1.4680001                      -0.2112367
                   1.471                     -0.21537591
                   1.474                     -0.22195702
                   1.477                     -0.23075725
                    1.48                     -0.24140937
                   1.483                     -0.25342463
               1.4859999                     -0.26622017
                   1.489                     -0.27915427
                   1.492                     -0.29157073
                   1.495                     -0.30284106
                   1.498                     -0.31240687
                   1.501                     -0.31982569
               1.5039999                     -0.32480029
                   1.507                     -0.32720363
                    1.51                     -0.32709338
                   1.513                     -0.32470791
                   1.516                     -0.32045358
               1.5190001                     -0.31487992
                   1.522                     -0.30864096
                   1.525                     -0.30245471
                   1.528                     -0.29705106
                   1.531                     -0.29313265
                   1.534                     -0.29132396
               1.5369999                     -0.29213089
                    1.54                     -0.29591585
                   1.543                     -0.30286463
                   1.546                     -0.31297776
                   1.549                     -0.32606673
                   1.552                     -0.34176112
               1.5549999                     -0.35952637
                   1.558                     -0.37869373
                   1.561                     -0.39850293
                   1.564                     -0.41814708
                   1.567                     -0.43682671
               1.5700001                     -0.45380793
                   1.573                     -0.46847746
                   1.576                     -0.48039249
                   1.579                     -0.48931845
                   1.582                     -0.49525626
                   1.585                     -0.49845096
               1.5880001                     -0.49938341
                   1.591                     -0.49874157
                   1.594                     -0.49738591
                   1.597                     -0.49628964
                     1.6                     -0.49648697
                   1.603                     -0.49900402
               1.6059999                     -0.50480335
                   1.609                     -0.51472699
                   1.612                     -0.52944344
                   1.615                     -0.54941317
                   1.618                     -0.57485668
               1.6210001                     -0.60574146
                   1.624                     -0.64177696
                   1.627                     -0.68242872
                    1.63                     -0.72694687
                   1.633                     -0.77440608
                   1.636                     -0.82377402
               1.6390001                     -0.87397815
                   1.642                     -0.92399946
                   1.645                     -0.97296601
                   1.648                      -1.0202478
                   1.651                      -1.0655472
                   1.654                      -1.1089747
               1.6569999                      -1.1510993
                    1.66                       -1.192979
                   1.663                      -1.2361516
                   1.666                      -1.2826145
                   1.669                      -1.3347656
               1.6720001                      -1.3953426
                   1.675                      -1.4673503
                   1.678                      -1.5539862
                   1.681                      -1.6585801
                   1.684                      -1.7845307
                   1.687                      -1.9352699
               1.6900001                      -2.1142231
                   1.693                      -2.3247847
                   1.696                      -2.5702854
                   1.699                      -2.8539602
                   1.702                      -3.1788705
                   1.705                      -3.5477989
               1.7079999                      -3.9630303
                   1.711                      -4.4259941
                   1.714                      -4.9366628
                   1.717                      -5.4925525
                    1.72                      -6.0871526
                   1.723                      -6.7075881
                   1.726                       -7.331499
                   1.729                      -7.9237515
                   1.732                      -8.4350412
                   1.735                      -8.8062908
                   1.738                      -8.9824525
               1.7410001                      -8.9328757
                   1.744                       -8.665526
                   1.747                      -8.2230912
                    1.75                      -7.6644332
                   1.753                      -7.0458043
                   1.756                      -6.4109549
               1.7589999                      -5.7895827
                   1.762                       -5.199857
                   1.765                      -4.6517798
                   1.768                      -4.1500284
                   1.771                      -3.6959748
                   1.774                      -3.2890006
                   1.777                       -2.927324
                    1.78                      -2.6084946
                   1.783                      -2.3296911
                   1.786                       -2.087887
                   1.789                      -1.8799453
               1.7920001                      -1.7026758
                   1.795                      -1.5528608
                   1.798                      -1.4272869
                   1.801                      -1.3227588
                   1.804                      -1.2361314
                   1.807                      -1.1643456
               1.8099999                      -1.1044683
                   1.813                      -1.0537442
                   1.816                      -1.0096524
                   1.819                     -0.96996268
                   1.822                      -0.9327831
                   1.825                     -0.89660119
               1.8279999                     -0.86030745
                   1.831                     -0.82320019
                   1.834                     -0.78496428
                   1.837                     -0.74563543
                    1.84                     -0.70554454
               1.8430001                     -0.66524813
                   1.846                     -0.62545259
                   1.849                     -0.58694068
                   1.852                     -0.55049749
                   1.855                     -0.51684756
                   1.858                     -0.48660421
               1.8609999                     -0.46022673
                   1.864                     -0.43799831
                   1.867                     -0.42000925
                    1.87                     -0.40615722
                   1.873                      -0.3961594
                   1.876                     -0.38956789
               1.8789999                     -0.38580197
                   1.882                     -0.38418551
                   1.885                      -0.3839827
                   1.888                     -0.38444517
                   1.891                     -0.38485559
               1.8940001                     -0.38456799
                   1.897                     -0.38304675
                     1.9                     -0.37989585
                   1.903                     -0.37487179
                   1.906                     -0.36790092
                   1.909                     -0.35906718
               1.9119999                      -0.3486038
                   1.915                     -0.33686624
                   1.918                     -0.32430287
                   1.921                     -0.31141713
                   1.924                     -0.29873402
                   1.927                     -0.28675756
               1.9299999                     -0.27594625
                   1.933                     -0.26667725
                   1.936                     -0.25922982
                   1.939                     -0.25376759
                   1.942                     -0.25033707
               1.9450001                     -0.24886143
                   1.948                     -0.24915414
                   1.951                     -0.25093162
                   1.954                     -0.25383234
                   1.957                      -0.2574442
                    1.96                       -0.261327
               1.9630001                     -0.26504583
                   1.966                     -0.26819659
                   1.969                     -0.27043168
                   1.972                     -0.27148146
                   1.975                      -0.2711701
                   1.978                     -0.26942497
               1.9809999                     -0.26627739
                   1.984                     -0.26185723
                   1.987                     -0.25638309
                    1.99                     -0.25014068
                   1.993                     -0.24346489
               1.9960001                     -0.23671372
                   1.999                     -0.23024332
               2.0020001                      -0.2243862
               2.0050001                     -0.21942796
               2.0079999                     -0.21559296
               2.0109999                     -0.21302926
               2.0139999                     -0.21180107
                   2.017                     -0.21188939
                    2.02                      -0.2131921
                   2.023                     -0.21553392
