        Frequency / GHz                VSWR1/abs,linear
----------------------------------------------------------------------
                       1                       126.70838
                   1.003                        131.7868
                   1.006                       139.22359
               1.0089999                       149.11825
                   1.012                       161.48848
                   1.015                       176.12267
                   1.018                       192.37097
                   1.021                       208.90826
                   1.024                       223.63457
                   1.027                       233.95932
                    1.03                       237.59977
                   1.033                       233.63585
                   1.036                       222.97116
                   1.039                        207.8707
               1.0420001                       190.93052
                   1.045                       174.25285
                   1.048                       159.15507
                   1.051                       146.27473
                   1.054                       135.79839
                   1.057                       127.67527
               1.0599999                       121.76013
                   1.063                       117.89238
                   1.066                       115.94042
                   1.069                       115.81635
                   1.072                       117.47728
                   1.075                       120.92124
               1.0779999                       126.16471
                   1.081                       133.21086
                   1.084                        141.9934
                   1.087                       152.29255
                    1.09                       163.62048
               1.0930001                       175.11458
                   1.096                       185.50315
                   1.099                       193.24439
                   1.102                       196.92474
                   1.105                       195.76255
                   1.108                       189.94266
               1.1109999                       180.54704
                   1.114                       169.09481
                   1.117                       157.05508
                    1.12                        145.5461
                   1.123                       135.26288
                   1.126                       126.55711
               1.1289999                       119.55126
                   1.132                       114.24111
                   1.135                       110.56757
                   1.138                       108.45841
                   1.141                       107.85497
               1.1440001                       108.71652
                   1.147                       111.02017
                    1.15                       114.74937
                   1.153                       119.86865
                   1.156                       126.29015
                   1.159                       133.81823
               1.1619999                       142.08615
                   1.165                       150.49701
                   1.168                       158.20808
                   1.171                       164.21434
                   1.174                       167.55996
                   1.177                       167.61729
               1.1799999                       164.33017
                   1.183                       158.22038
                   1.186                       150.20514
                   1.189                       141.30172
                   1.192                       132.39054
               1.1950001                       124.10916
                   1.198                       116.84982
                   1.201                       110.81362
                   1.204                       106.07486
                   1.207                       102.63974
                    1.21                       100.48099
               1.2130001                       99.564191
                   1.216                       99.857576
                   1.219                       101.33275
                   1.222                       103.96002
                   1.225                       107.69272
                   1.228                       112.44212
               1.2309999                       118.04367
                   1.234                       124.21747
                   1.237                       130.53189
                    1.24                       136.39918
                   1.243                       141.12409
               1.2460001                       144.02153
                   1.249                       144.60218
                   1.252                       142.71639
                   1.255                        138.6155
                   1.258                       132.85995
                   1.261                       126.15583
               1.2640001                       119.17851
                   1.267                       112.47029
                    1.27                       106.40672
                   1.273                       101.21559
                   1.276                       97.011545
                   1.279                       93.838816
               1.2819999                       91.700735
                   1.285                       90.582212
                   1.288                       90.460288
                   1.291                       91.308037
                   1.294                        93.09372
               1.2970001                       95.768474
                     1.3                       99.251106
                   1.303                        103.4055
                   1.306                       108.01642
                   1.309                       112.76508
                   1.312                       117.22747
               1.3150001                        120.9041
                   1.318                       123.29732
                   1.321                       124.02235
                   1.324                       122.91361
                   1.327                       120.07868
                    1.33                       115.86436
               1.3329999                       110.75714
                   1.336                       105.26487
                   1.339                       99.829749
                   1.342                       94.784296
                   1.345                       90.350194
                   1.348                       86.656626
                   1.351                       83.766911
                   1.354                       81.702774
                   1.357                       80.462554
                    1.36                       80.031084
                   1.363                       80.385208
               1.3660001                       81.493679
                   1.369                       83.309576
                   1.372                       85.762489
                   1.375                        88.74066
                   1.378                        92.07711
                   1.381                       95.534324
               1.3839999                       98.805288
                   1.387                        101.5293
                    1.39                       103.34526
                   1.393                       103.96042
                   1.396                       103.22729
                   1.399                       101.18201
                   1.402                       98.037378
                   1.405                       94.125874
                   1.408                       89.816848
                   1.411                       85.454823
                   1.414                       81.313716
               1.4170001                       77.589165
                    1.42                       74.404677
                   1.423                       71.828275
                   1.426                       69.889982
                   1.429                       68.594346
                   1.432                       67.931891
               1.4349999                       67.882115
                   1.438                        68.41551
                   1.441                       69.489435
                   1.444                       71.043018
                   1.447                       72.985678
                    1.45                        75.18992
               1.4529999                       77.482062
                   1.456                       79.643149
                   1.459                       81.423303
                   1.462                       82.570985
                   1.465                       82.881983
               1.4680001                       82.242507
                   1.471                       80.662082
                   1.474                       78.270671
                   1.477                       75.286046
                    1.48                        71.96447
                   1.483                       68.552973
               1.4859999                       65.258538
                   1.489                       62.235388
                   1.492                       59.585577
                   1.495                       57.368505
                   1.498                       55.612259
                   1.501                       54.322534
               1.5039999                       53.490727
                   1.507                       53.097923
                    1.51                       53.115818
                   1.513                       53.505941
                   1.516                        54.21612
               1.5190001                       55.175578
                   1.522                       56.290671
                   1.525                       57.441772
                   1.528                       58.486486
                   1.531                       59.268143
                   1.534                       59.636041
               1.5369999                       59.471345
                    1.54                        58.71081
                   1.543                       57.364041
                   1.546                       55.510841
                   1.549                       53.283018
                   1.552                       50.836737
               1.5549999                        48.32541
                   1.558                       45.880165
                   1.561                       43.600247
                   1.564                       41.552686
                   1.567                       39.776507
               1.5700001                       38.288733
                   1.573                       37.090344
                   1.576                       36.170856
                   1.579                        35.51138
                   1.582                       35.085847
                   1.585                       34.861095
               1.5880001                       34.796038
                   1.591                       34.840794
                   1.594                       34.935702
                   1.597                       35.012831
                     1.6                       34.998923
                   1.603                       34.822479
               1.6059999                       34.422649
                   1.609                       33.759377
                   1.612                       32.821556
                   1.615                       31.629331
                   1.618                       30.230352
               1.6210001                        28.69016
                   1.624                       27.080564
                   1.627                       25.468908
                    1.63                       23.910851
                   1.633                       22.447248
                   1.636                       21.103844
               1.6390001                       19.893442
                   1.642                       18.818365
                   1.645                       17.873122
                   1.648                       17.046592
                   1.651                       16.323595
                   1.654                       15.685994
               1.6569999                        15.11355
                    1.66                       14.584565
                   1.663                       14.076826
                   1.666                        13.56864
                   1.669                       13.040456
               1.6720001                       12.476594
                   1.675                       11.867019
                   1.678                       11.208653
                   1.681                       10.505692
                   1.684                       9.7688664
                   1.687                       9.0135155
               1.6900001                       8.2571536
                   1.693                       7.5169803
                   1.696                       6.8079441
                   1.699                       6.1415671
                   1.702                       5.5256257
                   1.705                       4.9643823
               1.7079999                       4.4592395
                   1.711                       4.0095057
                   1.714                       3.6131513
                   1.717                       3.2674845
                    1.72                       2.9696998
                   1.723                        2.717315
                   1.726                       2.5085074
                   1.729                       2.3423427
                   1.732                       2.2188429
                   1.735                       2.1388068
                   1.738                       2.1033296
               1.7410001                       2.1131603
                   1.744                       2.1682813
                   1.747                       2.2680393
                    1.75                       2.4117375
                   1.753                        2.599286
                   1.756                       2.8316144
               1.7589999                       3.1108013
                   1.762                       3.4400037
                   1.765                       3.8232727
                   1.768                       4.2652726
                   1.771                       4.7708948
