        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                    -0.094305834
                   1.003                     -0.08464339
                   1.006                    -0.075126155
               1.0089999                    -0.066231938
                   1.012                    -0.058400862
                   1.015                    -0.052013401
                   1.018                    -0.047375763
                   1.021                    -0.044706962
                   1.024                    -0.044129172
                   1.027                    -0.045666102
                    1.03                    -0.049240278
                   1.033                    -0.054682554
                   1.036                    -0.061735995
                   1.039                      -0.0700692
               1.0420001                    -0.079293403
                   1.045                    -0.088979836
                   1.048                    -0.098681726
                   1.051                     -0.10795164
                   1.054                     -0.11636774
                   1.057                     -0.12355212
               1.0599999                      -0.1291908
                   1.063                     -0.13304691
                   1.066                      -0.1349756
                   1.069                     -0.13492947
                   1.072                     -0.13295753
                   1.075                      -0.1292045
               1.0779999                     -0.12390165
                   1.081                     -0.11735145
                   1.084                     -0.10991357
                   1.087                     -0.10198478
                    1.09                    -0.093979111
               1.0930001                    -0.086306192
                   1.096                    -0.079353279
                   1.099                    -0.073466657
                   1.102                    -0.068935335
                   1.105                    -0.065982541
                   1.108                    -0.064749763
               1.1109999                    -0.065298834
                   1.114                    -0.067606302
                   1.117                    -0.071564495
                    1.12                    -0.076991529
                   1.123                    -0.083633752
                   1.126                    -0.091186313
               1.1289999                    -0.099298451
                   1.132                      -0.1075973
                   1.135                     -0.11570234
                   1.138                     -0.12324454
                   1.141                     -0.12988398
               1.1440001                     -0.13532861
                   1.147                     -0.13934568
                    1.15                     -0.14177603
                   1.153                     -0.14253897
                   1.156                     -0.14163797
                   1.159                      -0.1391581
               1.1619999                     -0.13526185
                   1.165                     -0.13017913
                   1.168                     -0.12419572
                   1.171                     -0.11763624
                   1.174                     -0.11084918
                   1.177                     -0.10418934
               1.1799999                    -0.097998166
                   1.183                    -0.092592575
                   1.186                    -0.088245308
                   1.189                    -0.085176716
                   1.192                    -0.083541921
               1.1950001                    -0.083428134
                   1.198                     -0.08484768
                   1.201                    -0.087743142
                   1.204                    -0.091984794
                   1.207                    -0.097381591
                    1.21                     -0.10368881
               1.2130001                     -0.11061797
                   1.216                     -0.11785469
                   1.219                     -0.12506871
                   1.222                     -0.13193501
                   1.225                     -0.13814531
                   1.228                     -0.14342646
               1.2309999                     -0.14754964
                   1.234                     -0.15034903
                   1.237                     -0.15171997
                    1.24                     -0.15163405
                   1.243                     -0.15013117
               1.2460001                     -0.14732395
                   1.249                      -0.1433845
                   1.252                     -0.13854343
                   1.255                     -0.13306805
                   1.258                      -0.1272558
                   1.261                     -0.12141629
               1.2640001                     -0.11585725
                   1.267                     -0.11086813
                    1.27                     -0.10670763
                   1.273                     -0.10359186
                   1.276                     -0.10168526
                   1.279                     -0.10109284
               1.2819999                     -0.10185633
                   1.285                      -0.1039519
                   1.288                     -0.10729459
                   1.291                     -0.11173851
                   1.294                     -0.11708616
               1.2970001                     -0.12309891
                     1.3                     -0.12950657
                   1.303                     -0.13602094
                   1.306                     -0.14234932
                   1.309                     -0.14820903
                   1.312                     -0.15334363
               1.3150001                     -0.15752855
                   1.318                     -0.16059261
                   1.321                     -0.16241539
                   1.324                     -0.16294299
                   1.327                     -0.16218213
                    1.33                     -0.16020589
               1.3329999                     -0.15714542
                   1.336                     -0.15318419
                   1.339                     -0.14854802
                   1.342                     -0.14349434
                   1.345                     -0.13829729
                   1.348                      -0.1332364
                   1.351                     -0.12858159
                   1.354                     -0.12457955
                   1.357                     -0.12144394
                    1.36                     -0.11934756
                   1.363                     -0.11840786
               1.3660001                     -0.11868964
                   1.369                     -0.12019872
                   1.372                     -0.12288054
                   1.375                     -0.12662848
                   1.378                     -0.13128071
                   1.381                     -0.13663872
               1.3839999                     -0.14246551
                   1.387                     -0.14850433
                    1.39                     -0.15448933
                   1.393                     -0.16015601
                   1.396                     -0.16525764
                   1.399                     -0.16957549
                   1.402                     -0.17293055
                   1.405                     -0.17519037
                   1.408                     -0.17627818
                   1.411                      -0.1761756
                   1.414                     -0.17492292
               1.4170001                     -0.17261667
                    1.42                     -0.16940536
                   1.423                     -0.16548221
                   1.426                     -0.16107085
                   1.429                     -0.15642014
                   1.432                     -0.15178756
               1.4349999                     -0.14742878
                   1.438                     -0.14358152
                   1.441                     -0.14046221
                   1.444                     -0.13824581
                   1.447                      -0.1370672
                    1.45                     -0.13700945
               1.4529999                     -0.13810144
                   1.456                     -0.14031724
                   1.459                     -0.14357834
                   1.462                     -0.14775634
                   1.465                     -0.15267834
               1.4680001                     -0.15813708
                   1.471                     -0.16389996
                   1.474                     -0.16971749
                   1.477                     -0.17534183
                    1.48                     -0.18052957
                   1.483                     -0.18506354
               1.4859999                     -0.18875654
                   1.489                     -0.19146343
                   1.492                     -0.19308936
                   1.495                     -0.19359087
                   1.498                     -0.19298215
                   1.501                     -0.19133273
               1.5039999                      -0.1887609
                   1.507                     -0.18543345
                    1.51                      -0.1815518
                   1.513                       -0.177343
                   1.516                     -0.17305005
               1.5190001                     -0.16891986
                   1.522                      -0.1651892
                   1.525                     -0.16207499
                   1.528                     -0.15976301
                   1.531                     -0.15840282
                   1.534                     -0.15809313
               1.5369999                     -0.15888801
                    1.54                      -0.1607842
                   1.543                     -0.16373044
                   1.546                     -0.16762122
                   1.549                     -0.17230838
                   1.552                     -0.17760576
               1.5549999                     -0.18329676
                   1.558                     -0.18914562
                   1.561                     -0.19490899
                   1.564                     -0.20034894
                   1.567                      -0.2052405
               1.5700001                     -0.20938711
                   1.573                     -0.21262958
                   1.576                     -0.21485128
                   1.579                     -0.21598842
                   1.582                     -0.21603088
                   1.585                     -0.21502233
               1.5880001                     -0.21306041
                   1.591                     -0.21028805
                   1.594                     -0.20688989
                   1.597                     -0.20308004
                     1.6                     -0.19909475
                   1.603                     -0.19517746
               1.6059999                     -0.19156757
