        Frequency / GHz                VSWR1/abs,linear
----------------------------------------------------------------------
                       1                       184.20864
                   1.003                       205.23654
                   1.006                       231.23621
               1.0089999                       262.28832
                   1.012                        297.4587
                   1.015                       333.98761
                   1.018                       366.68164
                   1.021                       388.57075
                   1.024                       393.65834
                   1.027                       380.40951
                    1.03                       352.79707
                   1.033                       317.68518
                   1.036                       281.38936
                   1.039                       247.92453
               1.0420001                        219.0838
                   1.045                       195.23447
                   1.048                       176.04036
                   1.051                       160.92394
                   1.054                        149.2857
                   1.057                       140.60521
               1.0599999                       134.46855
                   1.063                       130.57139
                   1.066                        128.7057
                   1.069                        128.7497
                   1.072                       130.65915
                   1.075                       134.45429
               1.0779999                       140.20858
                   1.081                       148.03433
                   1.084                       158.05156
                   1.087                       170.33893
                    1.09                       184.84904
               1.0930001                       201.28245
                   1.096                       218.91849
                   1.099                       236.45942
                   1.102                       252.00241
                   1.105                       263.27969
                   1.108                       268.29225
               1.1109999                       266.03631
                   1.114                       256.95633
                   1.117                       242.74436
                    1.12                       225.63382
                   1.123                       207.71415
                   1.126                       190.51038
               1.1289999                       174.94702
                   1.132                       161.45388
                   1.135                        150.1442
                   1.138                       140.95611
                   1.141                       133.75093
               1.1440001                       128.36998
                   1.147                       124.66947
                    1.15                       122.53245
                   1.153                       121.87663
                   1.156                       122.65189
                   1.159                       124.83751
               1.1619999                       128.43333
                   1.165                       133.44769
                   1.168                        139.8766
                   1.171                       147.67596
                   1.174                       156.71759
                   1.177                       166.73478
               1.1799999                       177.26825
                   1.183                       187.61703
                   1.186                       196.85952
                   1.189                       203.95149
                   1.192                       207.94247
               1.1950001                       208.22607
                   1.198                        204.7424
                   1.201                       197.98615
                   1.204                       188.85667
                   1.207                       178.39061
                    1.21                       167.53964
               1.2130001                       157.04513
                   1.216                       147.40224
                   1.219                       138.90029
                   1.222                       131.67175
                   1.225                        125.7527
                   1.228                       121.12251
               1.2309999                       117.73798
                   1.234                       115.54589
                   1.237                       114.50187
                    1.24                       114.56675
                   1.243                       115.71356
               1.2460001                       117.91834
                   1.249                       121.15797
                   1.252                       125.39135
                   1.255                       130.55064
                   1.258                       136.51315
                   1.261                       143.07852
               1.2640001                       149.94346
                   1.267                        156.6908
                    1.27                       162.79995
                   1.273                       167.69643
                   1.276                       170.84066
                   1.279                        171.8418
               1.2819999                       170.55374
                   1.285                       167.11563
                   1.288                       161.90937
                   1.291                       155.47029
                   1.294                       148.36973
               1.2970001                       141.12286
                     1.3                       134.14069
                   1.303                       127.71662
                   1.306                         122.039
                   1.309                       117.21419
                   1.312                       113.28955
               1.3150001                       110.28005
                   1.318                       108.17605
                   1.321                       106.96206
                   1.324                       106.61575
                   1.327                        107.1159
                    1.33                       108.43716
               1.3329999                        110.5489
                   1.336                       113.40746
                   1.339                       116.94672
                   1.342                       121.06522
                   1.345                       125.61451
                   1.348                       130.38569
                   1.351                       135.10563
                   1.354                       139.44565
                   1.357                       143.04594
                    1.36                       145.55851
                   1.363                       146.71364
               1.3660001                       146.36534
                   1.369                        144.5278
                   1.372                       141.37364
                   1.375                       137.18941
                   1.378                       132.32798
                   1.381                        127.1392
               1.3839999                       121.93947
                   1.387                       116.98112
                    1.39                       112.44943
                   1.393                       108.47093
                   1.396                       105.12254
                   1.399                         102.446
                   1.402                       100.45855
                   1.405                       99.162806
                   1.408                       98.550911
                   1.411                       98.608291
                   1.414                       99.314411
               1.4170001                       100.64121
                    1.42                       102.54888
                   1.423                       104.97989
                   1.426                       107.85488
                   1.429                       111.06146
                   1.432                       114.45089
               1.4349999                        117.8345
                   1.438                       120.99172
                   1.441                       123.67851
                   1.444                       125.66129
                   1.447                       126.74178
                    1.45                       126.79519
               1.4529999                       125.79264
                   1.456                       123.80629
                   1.459                        120.9944
                   1.462                       117.57329
                   1.465                       113.78318
               1.4680001                        109.8557
                   1.471                       105.99329
                   1.474                       102.36029
                   1.477                       99.077155
                    1.48                       96.230247
                   1.483                       93.872821
               1.4859999                       92.036348
                   1.489                       90.735253
                   1.492                       89.971269
                   1.495                        89.73821
                   1.498                       90.021246
                   1.501                       90.797228
               1.5039999                       92.034225
                   1.507                       93.685573
                    1.51                        95.68846
                   1.513                       97.959222
                   1.516                       100.38919
               1.5190001                        102.8436
                   1.522                        105.1661
                   1.525                        107.1867
                   1.528                       108.73774
                   1.531                       109.67141
                   1.534                       109.88623
               1.5369999                       109.33653
                    1.54                       108.04716
                   1.543                       106.10302
                   1.546                       103.64033
                   1.549                       100.82126
                   1.552                       97.814306
               1.5549999                       94.777583
                   1.558                        91.84704
                   1.561                       89.131387
                   1.564                       86.711463
                   1.567                       84.645025
               1.5700001                        82.96891
                   1.573                        81.70381
                   1.576                       80.859025
                   1.579                       80.433359
                   1.582                       80.417552
                   1.585                       80.794709
               1.5880001                       81.538614
                   1.591                       82.613481
                   1.594                       83.970272
                   1.597                       85.545438
                     1.6                       87.257649
                   1.603                       89.008795
               1.6059999                       90.685929
                   1.609                       92.165662
                   1.612                       93.325419
                   1.615                       94.054626
                   1.618                       94.270789
               1.6210001                       93.928173
                   1.624                       93.028153
                   1.627                       91.617103
                    1.63                       89.779281
                   1.633                        87.62568
                   1.636                       85.276926
               1.6390001                       82.853885
                   1.642                       80.464624
                   1.645                       78.201176
                   1.648                       76.134909
                   1.651                       74.319744
                   1.654                        72.79258
               1.6569999                       71.576435
                    1.66                       70.682956
                   1.663                       70.115312
                   1.666                       69.867553
                   1.669                       69.927492
               1.6720001                       70.275038
                   1.675                       70.882215
                   1.678                       71.711396
                   1.681                       72.714302
                   1.684                       73.831727
                   1.687                       74.991313
               1.6900001                       76.111902
                   1.693                       77.104974
                   1.696                       77.881845
                   1.699                       78.361806
                   1.702                       78.481007
                   1.705                       78.200289
               1.7079999                       77.511126
                   1.711                       76.437552
                   1.714                       75.031047
                   1.717                       73.364699
                    1.72                       71.523325
                   1.723                       69.594439
                   1.726                       67.660066
                   1.729                       65.792695
                   1.732                       64.051463
                   1.735                       62.482042
                   1.738                       61.117387
               1.7410001                       59.979142
                   1.744                        59.07944
                   1.747                       58.422388
                    1.75                       58.004971
                   1.753                       57.818318
                   1.756                        57.84726
               1.7589999                       58.070394
                   1.762                       58.459502
                   1.765                       58.978931
                   1.768                       59.585468
                   1.771                        60.22836
                   1.774                        60.85027
                   1.777                       61.389921
                    1.78                       61.786254
                   1.783                       61.983111
                   1.786                       61.935184
                   1.789                       61.612851
               1.7920001                       61.007102
                   1.795                       60.129002
                   1.798                       59.010052
                   1.801                       57.696619
                   1.804                       56.244776
                   1.807                       54.714574
               1.8099999                       53.163937
                   1.813                        51.64517
                   1.816                        50.20222
                   1.819                       48.869908
                   1.822                       47.673957
                   1.825                       46.631574
               1.8279999                        45.75243
                   1.831                       45.039906
                   1.834                       44.491899
                   1.837                       44.101359
                    1.84                       43.856515
               1.8430001                       43.741391
                   1.846                        43.73519
                   1.849                        43.81295
                   1.852                       43.944789
                   1.855                       44.097139
                   1.858                       44.233383
               1.8609999                       44.315306
                   1.864                       44.305618
                   1.867                       44.171215
                    1.87                       43.885614
                   1.873                       43.432372
                   1.876                       42.806704
               1.8789999                       42.015829
                   1.882                       41.078755
                   1.885                       40.023078
                   1.888                        38.88228
                   1.891                       37.692219
               1.8940001                       36.488016
                   1.897                       35.301401
                     1.9                       34.159259
                   1.903                        33.08284
                   1.906                       32.087785
                   1.909                       31.184044
               1.9119999                       30.376893
                   1.915                       29.667329
                   1.918                       29.052485
                   1.921                       28.526456
                   1.924                        28.08057
                   1.927                       27.703491
               1.9299999                       27.381681
                   1.933                       27.099591
                   1.936                       26.840083
                   1.939                       26.584786
                   1.942                       26.315049
               1.9450001                       26.012743
                   1.948                       25.661523
                   1.951                       25.248024
                   1.954                       24.763037
                   1.957                       24.202328
                    1.96                        23.56705
               1.9630001                       22.863548
                   1.966                        22.10262
                   1.969                       21.298276
                   1.972                       20.466322
                   1.975                       19.622873
                   1.978                       18.783166
               1.9809999                       17.960497
                   1.984                       17.165759
                   1.987                       16.407102
                    1.99                       15.689944
                   1.993                       15.017183
               1.9960001                       14.389483
                   1.999                       13.805604
               2.0020001                       13.262726
               2.0050001                       12.756794
               2.0079999                       12.282817
               2.0109999                       11.835133
               2.0139999                       11.407699
                   2.017                       10.994358
                    2.02                       10.589152
                   2.023                       10.186605
                   2.026                       9.7820344
                   2.029                       9.3718232
               2.0320001                       8.9536461
               2.0350001                       8.5266001
               2.0380001                       8.0912249
               2.0409999                       7.6493869
               2.0439999                       7.2040744
               2.0469999                       6.7590516
                    2.05                        6.318525
                   2.053                       5.8867607
                   2.056                       5.4677867
                   2.059                       5.0651394
                   2.062                       4.6817203
               2.0650001                        4.319723
               2.0680001                       3.9806522
               2.0710001                       3.6653771
               2.0739999                       3.3742451
               2.0769999                       3.1071971
               2.0799999                       2.8639017
               2.0829999                       2.6438913
                   2.086                       2.4466954
                   2.089                       2.2719782
                   2.092                       2.1196808
                   2.095                       1.9901605
                   2.098                       1.8843092
               2.1010001                       1.8035816
               2.1040001                       1.7498307
               2.1070001                        1.724852
               2.1099999                       1.7297361
               2.1129999                       1.7644038
               2.1159999                        1.827695
                   2.119                       1.9179409
                   2.122                       2.0335955
                   2.125                       2.1736194
                   2.128                       2.3375944
                   2.131                       2.5256761
               2.1340001                       2.7384823
               2.1370001                       2.9769668
               2.1400001                       3.2422941
               2.1429999                       3.5357155
               2.1459999                       3.8584363
               2.1489999                       4.2114783
                   2.152                       4.5955281
                   2.155                        5.010776
                   2.158                       5.4567507
                   2.161                       5.9321717
                   2.164                       6.4348491
               2.1670001                       6.9616182
               2.1700001                       7.5084006
               2.1730001                       8.0703503
               2.1760001                       8.6421397
               2.1789999                        9.218359
               2.1819999                       9.7939785
               2.1849999                       10.364842
                   2.188                       10.928114
                   2.191                       11.482619
                   2.194                       12.029036
                   2.197                       12.569916
                     2.2                       13.109512
               2.2030001                       13.653554
               2.2060001                       14.208861
               2.2090001                       14.782993
               2.2119999                       15.383801
               2.2149999                        16.01908
               2.2179999                       16.696188
                   2.221                       17.421633
                   2.224                       18.200766
                   2.227                       19.037304
                    2.23                       19.932865
                   2.233                       20.886616
               2.2360001                       21.894668
               2.2390001                        22.94977
               2.2420001                       24.041016
               2.2449999                       25.153801
               2.2479999                       26.270245
               2.2509999                       27.370015
               2.2539999                       28.431484
                   2.257                       29.433727
                    2.26                       30.358129
                   2.263                       31.190633
                   2.266                       31.922989
               2.2690001                       32.553932
               2.2720001                       33.089148
               2.2750001                       33.540741
               2.2780001                       33.926025
               2.2809999                       34.265809
               2.2839999                        34.58299
               2.2869999                       34.900717
                    2.29                       35.241421
                   2.293                       35.625663
                   2.296                       36.071628
                   2.299                       36.594676
                   2.302                       37.206727
               2.3050001                       37.916496
               2.3080001                       38.728732
               2.3110001                       39.644222
               2.3139999                       40.658911
               2.3169999                       41.763913
               2.3199999                       42.944789
                   2.323                       44.181268
                   2.326                       45.447459
                   2.329                       46.712667
                   2.332                       47.942303
                   2.335                       49.099979
               2.3380001                       50.150689
               2.3410001                       51.063206
               2.3440001                       51.813703
               2.3469999                       52.388013
               2.3499999                       52.783629
               2.3529999                        53.00933
               2.3559999                       53.084485
                   2.359                       53.036938
                   2.362                       52.900219
                   2.365                       52.710709
                   2.368                       52.504929
               2.3710001                       52.317395
               2.3740001                       52.179229
               2.3770001                       52.117014
               2.3800001                        52.15252
               2.3829999                       52.302565
               2.3859999                       52.578688
               2.3889999                       52.987617
                   2.392                       53.530659
                   2.395                        54.20405
                   2.398                       54.998604
                   2.401                        55.89979
                   2.404                       56.886465
               2.4070001                       57.932596
               2.4100001                       59.006431
               2.4130001                       60.071759
               2.4159999                       61.089889
               2.4189999                       62.021819
               2.4219999                       62.830581
                   2.425                       63.484855
                   2.428                        63.96191
                   2.431                       64.249292
                   2.434                       64.347011
                   2.437                       64.266103
               2.4400001                       64.029057
               2.4430001                       63.666246
               2.4460001                       63.213296
               2.4489999                       62.708878
               2.4519999                       62.190979
               2.4549999                       61.695472
               2.4579999                       61.254339
                   2.461                       60.894771
                   2.464                       60.638852
                   2.467                       60.502371
                    2.47                       60.496217
                   2.473                       60.626289
               2.4760001                       60.892169
               2.4790001                       61.289395
               2.4820001                       61.807231
               2.4849999                       62.430537
               2.4879999                       63.138535
               2.4909999                       63.905835
                   2.494                       64.702525
                   2.497                        65.49565
                     2.5                       66.250147
                   2.503                       66.931264
                   2.506                       67.506092
               2.5090001                       67.947293
               2.5120001                       68.234401
               2.5150001                       68.355975
               2.5179999                       68.310566
               2.5209999                       68.106869
               2.5239999                       67.762888
                   2.527                       67.303764
                    2.53                       66.760302
                   2.533                       66.165517
                   2.536                       65.553455
                   2.539                       64.956023
               2.5420001                       64.402317
               2.5450001                       63.917697
               2.5480001                       63.522499
               2.5510001                       63.232393
               2.5539999                       63.057834
               2.5569999                       63.004398
               2.5599999                       63.072703
                   2.563                       63.258871
                   2.566                       63.554024
                   2.569                       63.944987
                   2.572                       64.414164
                   2.575                       64.939981
               2.5780001                       65.497392
               2.5810001                       66.058574
               2.5840001                       66.594777
               2.5869999                        67.07663
               2.5899999                       67.477361
               2.5929999                       67.773373
                   2.596                       67.946848
                   2.599                       67.986832
                   2.602                       67.890313
                   2.605                       67.662154
                   2.608                       67.314746
               2.6110001                       66.867086
               2.6140001                       66.342549
               2.6170001                       65.767991
               2.6199999                        65.17099
               2.6229999                       64.578409
               2.6259999                       64.015535
               2.6289999                       63.504445
                   2.632                       63.063784
                   2.635                       62.708005
                   2.638                       62.447511
                   2.641                       62.288221
               2.6440001                       62.231752
               2.6470001                       62.275989
               2.6500001                       62.414341
               2.6530001                       62.636581
               2.6559999                       62.928796
               2.6589999                       63.273636
               2.6619999                       63.651172
                   2.665                       64.039039
                   2.668                       64.413793
                   2.671                       64.751769
                   2.674                       65.031009
                   2.677                        65.23164
               2.6800001                       65.338202
               2.6830001                       65.340166
               2.6860001                       65.233401
               2.6889999                       65.019308
               2.6919999                       64.706001
               2.6949999                       64.306811
                   2.698                        63.83889
                   2.701                       63.322825
                   2.704                       62.780475
                   2.707                       62.233989
                    2.71                       61.704482
