        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                    -0.068337475
                   1.003                    -0.061573398
                   1.006                    -0.055478315
               1.0089999                    -0.050307852
                   1.012                    -0.046273768
                   1.015                    -0.043538617
                   1.018                    -0.042213992
                   1.021                    -0.042350088
                   1.024                    -0.043940681
                   1.027                     -0.04692046
                    1.03                    -0.051169726
                   1.033                    -0.056519642
                   1.036                    -0.062760375
                   1.039                    -0.069645681
               1.0420001                    -0.076906699
                   1.045                    -0.084261318
                   1.048                    -0.091426078
                   1.051                    -0.098127149
                   1.054                     -0.10411364
                   1.057                     -0.10916351
               1.0599999                     -0.11309748
                   1.063                     -0.11578542
                   1.066                     -0.11714754
                   1.069                     -0.11716286
                   1.072                     -0.11586614
                   1.075                     -0.11334542
               1.0779999                     -0.10973982
                   1.081                     -0.10523196
                   1.084                     -0.10003726
                   1.087                    -0.094397432
                    1.09                    -0.088568473
               1.0930001                    -0.082809658
                   1.096                    -0.077373819
                   1.099                    -0.072496785
                   1.102                    -0.068386827
                   1.105                    -0.065219805
                   1.108                    -0.063130994
               1.1109999                    -0.062208761
                   1.114                    -0.062496128
                   1.117                    -0.063985025
                    1.12                    -0.066620838
                   1.123                     -0.07030226
                   1.126                    -0.074887409
               1.1289999                    -0.080200224
                   1.132                    -0.086035649
                   1.135                    -0.092167207
                   1.138                     -0.09836161
                   1.141                      -0.1043834
               1.1440001                     -0.11000362
                   1.147                     -0.11501561
                    1.15                     -0.11923448
                   1.153                     -0.12251476
                   1.156                     -0.12474776
                   1.159                     -0.12587208
               1.1619999                     -0.12586952
                   1.165                     -0.12477263
                   1.168                      -0.1226579
                   1.171                     -0.11964273
                   1.174                      -0.1158805
                   1.177                     -0.11155424
               1.1799999                     -0.10686789
                   1.183                     -0.10203626
                   1.186                    -0.097277884
                   1.189                    -0.092806269
                   1.192                    -0.088818013
               1.1950001                     -0.08548902
                   1.198                    -0.082966246
                   1.201                    -0.081362585
                   1.204                    -0.080750871
                   1.207                    -0.081165587
                    1.21                    -0.082597406
               1.2130001                    -0.084996375
                   1.216                     -0.08827476
                   1.219                    -0.092310556
                   1.222                    -0.096950115
                   1.225                     -0.10201714
                   1.228                     -0.10732036
               1.2309999                     -0.11265813
                   1.234                     -0.11782981
                   1.237                     -0.12264199
                    1.24                     -0.12691801
                   1.243                     -0.13050476
               1.2460001                     -0.13327796
                   1.249                     -0.13514859
                   1.252                     -0.13606628
                   1.255                     -0.13602076
                   1.258                     -0.13503973
                   1.261                     -0.13319411
               1.2640001                     -0.13058526
                   1.267                     -0.12734875
                    1.27                      -0.1236428
                   1.273                     -0.11964466
                   1.276                     -0.11553931
                   1.279                     -0.11151671
               1.2819999                     -0.10775854
                   1.285                     -0.10443646
                   1.288                     -0.10169967
                   1.291                     -0.09967494
                   1.294                    -0.098455597
               1.2970001                    -0.098104831
                     1.3                    -0.098646946
                   1.303                     -0.10007305
                   1.306                      -0.1023359
                   1.309                     -0.10535666
                   1.312                     -0.10902467
               1.3150001                     -0.11320514
                   1.318                     -0.11774213
                   1.321                     -0.12246636
                   1.324                     -0.12720196
                   1.327                     -0.13177263
                    1.33                     -0.13601069
               1.3329999                     -0.13976255
                   1.336                     -0.14289669
                   1.339                     -0.14530569
                   1.342                     -0.14691475
                   1.345                     -0.14768349
                   1.348                      -0.1476043
                   1.351                     -0.14670791
                   1.354                     -0.14505723
                   1.357                     -0.14274645
                    1.36                     -0.13989522
                   1.363                     -0.13664653
               1.3660001                     -0.13315804
                   1.369                     -0.12959348
                   1.372                     -0.12612257
                   1.375                     -0.12290448
                   1.378                     -0.12009096
                   1.381                     -0.11781335
               1.3839999                     -0.11618085
                   1.387                     -0.11527597
                    1.39                     -0.11515072
                   1.393                      -0.1158237
                   1.396                     -0.11728383
                   1.399                     -0.11948597
                   1.402                     -0.12235624
                   1.405                      -0.1257925
                   1.408                     -0.12967251
                   1.411                     -0.13385466
                   1.414                     -0.13818518
               1.4170001                     -0.14250517
                    1.42                     -0.14665794
                   1.423                     -0.15049306
                   1.426                     -0.15387472
                   1.429                     -0.15668471
                   1.432                     -0.15883166
               1.4349999                     -0.16024991
                   1.438                     -0.16090584
                   1.441                     -0.16079846
                   1.444                     -0.15995746
                   1.447                     -0.15844331
                    1.45                     -0.15634365
               1.4529999                     -0.15377128
                   1.456                     -0.15085697
                   1.459                     -0.14774575
                   1.462                     -0.14458754
                   1.465                     -0.14153599
               1.4680001                     -0.13873687
                   1.471                     -0.13632677
                   1.474                     -0.13442363
                   1.477                     -0.13312592
                    1.48                     -0.13250525
                   1.483                     -0.13260537
               1.4859999                     -0.13344273
                   1.489                     -0.13500185
                   1.492                     -0.13723707
                   1.495                     -0.14007758
                   1.498                       -0.143429
                   1.501                     -0.14717272
               1.5039999                     -0.15117625
                   1.507                       -0.155299
                    1.51                      -0.1593919
                   1.513                     -0.16331102
                   1.516                     -0.16691697
               1.5190001                     -0.17008494
                   1.522                     -0.17271022
                   1.525                     -0.17470797
                   1.528                     -0.17602248
                   1.531                     -0.17662553
                   1.534                     -0.17651857
               1.5369999                     -0.17573312
                    1.54                     -0.17433062
                   1.543                     -0.17239534
                   1.546                     -0.17003477
                   1.549                     -0.16737357
                   1.552                     -0.16454868
               1.5549999                     -0.16170324
                   1.558                      -0.1589789
                   1.561                     -0.15651446
                   1.564                     -0.15443588
                   1.567                     -0.15285306
               1.5700001                     -0.15185493
                   1.573                     -0.15150771
                   1.576                     -0.15184947
                   1.579                     -0.15289188
                   1.582                     -0.15461667
                   1.585                     -0.15697793
               1.5880001                     -0.15990499
                   1.591                     -0.16330427
                   1.594                     -0.16706139
                   1.597                     -0.17105029
                     1.6                     -0.17513229
                   1.603                     -0.17916723
               1.6059999                     -0.18301646
                   1.609                     -0.18654888
                   1.612                     -0.18964653
                   1.615                     -0.19221068
                   1.618                     -0.19416464
               1.6210001                     -0.19545591
                   1.624                     -0.19606311
                   1.627                     -0.19599066
                    1.63                     -0.19527276
                   1.633                        -0.19397
                   1.636                     -0.19216931
               1.6390001                     -0.18997638
                   1.642                     -0.18751493
                   1.645                     -0.18491731
                   1.648                     -0.18232416
                   1.651                      -0.1798723
                   1.654                     -0.17769713
               1.6569999                     -0.17591932
                    1.66                       -0.174643
                   1.663                     -0.17395455
                   1.666                      -0.1739133
                   1.669                     -0.17455537
               1.6720001                     -0.17588658
                   1.675                     -0.17788724
                   1.678                     -0.18050843
                   1.681                     -0.18367806
                   1.684                     -0.18730004
                   1.687                     -0.19126066
               1.6900001                     -0.19543213
                   1.693                     -0.19967821
                   1.696                     -0.20386015
                   1.699                     -0.20784047
                   1.702                     -0.21149063
                   1.705                      -0.2146954
               1.7079999                     -0.21735908
                   1.711                     -0.21940862
                   1.714                     -0.22079559
                   1.717                     -0.22150113
                    1.72                     -0.22153474
                   1.723                     -0.22093413
                   1.726                     -0.21976393
                   1.729                     -0.21811415
                   1.732                     -0.21609371
                   1.735                      -0.2138283
                   1.738                     -0.21145428
               1.7410001                     -0.20911272
                   1.744                     -0.20694246
                   1.747                     -0.20507955
                    1.75                     -0.20364313
                   1.753                     -0.20273842
                   1.756                     -0.20244886
               1.7589999                     -0.20283393
                   1.762                     -0.20392473
                   1.765                     -0.20572573
                   1.768                      -0.2082107
                   1.771                     -0.21132869
                   1.774                     -0.21500039
                   1.777                     -0.21912719
                    1.78                     -0.22358856
                   1.783                     -0.22825207
                   1.786                     -0.23297614
                   1.789                     -0.23761694
               1.7920001                     -0.24203396
                   1.795                     -0.24609569
                   1.798                     -0.24968373
                   1.801                     -0.25270313
                   1.804                     -0.25507936
                   1.807                     -0.25676677
               1.8099999                     -0.25775042
                   1.813                     -0.25804307
                   1.816                     -0.25768895
                   1.819                     -0.25676021
                   1.822                     -0.25535278
                   1.825                     -0.25358608
               1.8279999                     -0.25159398
                   1.831                     -0.24952178
