        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.10611756
                   1.003                     -0.10586541
                   1.006                     -0.10591148
               1.0089999                     -0.10622106
                   1.012                     -0.10675577
                   1.015                     -0.10747927
                   1.018                     -0.10835126
                   1.021                     -0.10932903
                   1.024                     -0.11037404
                   1.027                      -0.1114443
                    1.03                     -0.11250073
                   1.033                     -0.11350587
                   1.036                     -0.11442314
                   1.039                     -0.11521808
               1.0420001                     -0.11586156
                   1.045                     -0.11632582
                   1.048                     -0.11658717
                   1.051                     -0.11662616
                   1.054                     -0.11642781
                   1.057                     -0.11598188
               1.0599999                      -0.1152813
                   1.063                     -0.11432483
                   1.066                     -0.11311583
                   1.069                     -0.11166067
                   1.072                     -0.10997011
                   1.075                     -0.10806187
               1.0779999                     -0.10595384
                   1.081                      -0.1036682
                   1.084                     -0.10123073
                   1.087                    -0.098669184
                    1.09                    -0.096013531
               1.0930001                     -0.09329505
                   1.096                    -0.090545805
                   1.099                    -0.087798577
                   1.102                    -0.085087431
                   1.105                    -0.082443206
                   1.108                    -0.079898703
               1.1109999                    -0.077481903
                   1.114                    -0.075223055
                   1.117                    -0.073145857
                    1.12                    -0.071275079
                   1.123                    -0.069629806
                   1.126                    -0.068226104
               1.1289999                    -0.067078013
                   1.132                    -0.066196198
                   1.135                    -0.065585687
                   1.138                     -0.06524871
                   1.141                    -0.065183578
               1.1440001                    -0.065385785
                   1.147                    -0.065846197
                    1.15                    -0.066552331
                   1.153                    -0.067488038
                   1.156                    -0.068636334
                   1.159                    -0.069974109
               1.1619999                    -0.071479166
                   1.165                    -0.073124732
                   1.168                    -0.074884353
                   1.171                    -0.076728945
                   1.174                    -0.078629273
                   1.177                    -0.080555696
               1.1799999                    -0.082478878
                   1.183                    -0.084369306
                   1.186                    -0.086199556
                   1.189                    -0.087941671
                   1.192                    -0.089571694
               1.1950001                    -0.091066409
                   1.198                    -0.092404799
                   1.201                     -0.09356916
                   1.204                    -0.094545207
                   1.207                    -0.095320716
                    1.21                    -0.095887004
               1.2130001                    -0.096239537
                   1.216                    -0.096377003
                   1.219                    -0.096299777
                   1.222                     -0.09601423
                   1.225                    -0.095528583
                   1.228                    -0.094853177
               1.2309999                     -0.09400362
                   1.234                    -0.092995351
                   1.237                    -0.091848198
                    1.24                    -0.090584257
                   1.243                    -0.089225245
               1.2460001                    -0.087795289
                   1.249                    -0.086318669
                   1.252                    -0.084821326
                   1.255                    -0.083330218
                   1.258                     -0.08186899
                   1.261                    -0.080463295
               1.2640001                    -0.079135658
                   1.267                    -0.077908803
                    1.27                    -0.076803506
                   1.273                    -0.075838851
                   1.276                    -0.075030893
                   1.279                    -0.074392785
               1.2819999                    -0.073937514
                   1.285                    -0.073671993
                   1.288                    -0.073603509
                   1.291                    -0.073734481
                   1.294                    -0.074064383
               1.2970001                    -0.074590438
                     1.3                     -0.07530768
                   1.303                    -0.076207452
                   1.306                    -0.077277336
                   1.309                    -0.078505694
                   1.312                    -0.079875575
               1.3150001                    -0.081369837
                   1.318                    -0.082969703
                   1.321                    -0.084654212
                   1.324                    -0.086401959
                   1.327                    -0.088190313
                    1.33                    -0.089997018
               1.3329999                    -0.091799656
                   1.336                    -0.093574487
                   1.339                    -0.095300728
                   1.342                     -0.09695746
                   1.345                    -0.098525052
                   1.348                    -0.099985842
                   1.351                     -0.10132258
                   1.354                     -0.10252204
                   1.357                     -0.10357194
                    1.36                     -0.10446241
