        Frequency / GHz                VSWR1/abs,linear
----------------------------------------------------------------------
                       1                        163.7052
                   1.003                        164.0951
                   1.006                       164.02371
               1.0089999                       163.54568
                   1.012                       162.72654
                   1.015                       161.63118
                   1.018                       160.33043
                   1.021                       158.89658
                   1.024                       157.39221
                   1.027                       155.88072
                    1.03                       154.41697
                   1.033                       153.04959
                   1.036                        151.8227
                   1.039                       150.77525
               1.0420001                       149.93788
                   1.045                        149.3395
                   1.048                       149.00473
                   1.051                       148.95492
                   1.054                       149.20868
                   1.057                       149.78234
               1.0599999                       150.69256
                   1.063                       151.95325
                   1.066                       153.57732
                   1.069                       155.57868
                   1.072                        157.9703
                   1.075                       160.75979
               1.0779999                       163.95815
                   1.081                       167.57294
                   1.084                       171.60772
                   1.087                       176.06273
                    1.09                       180.93237
               1.0930001                       186.20437
                   1.096                         191.858
                   1.099                       197.86115
                   1.102                        204.1655
                   1.105                       210.71366
                   1.108                       217.42408
               1.1109999                       224.20583
                   1.114                       230.93835
                   1.117                       237.49646
                    1.12                       243.73003
                   1.123                       249.48902
                   1.126                       254.62202
               1.1289999                       258.98003
                   1.132                       262.42993
                   1.135                       264.87276
                   1.138                       266.24068
                   1.141                       266.50671
               1.1440001                       265.68254
                   1.147                       263.82484
                    1.15                       261.02563
                   1.153                        257.4066
                   1.156                        253.1002
                   1.159                       248.26144
               1.1619999                       243.03413
                   1.165                       237.56507
                   1.168                       231.98287
                   1.171                       226.40598
                   1.174                       220.93423
                   1.177                       215.65084
               1.1799999                       210.62253
                   1.183                       205.90327
                   1.186                       201.53145
                   1.189                        197.5392
                   1.192                       193.94445
               1.1950001                       190.76121
                   1.198                       187.99828
                   1.201                        185.6589
                   1.204                       183.74227
                   1.207                       182.24741
                    1.21                       181.17112
               1.2130001                       180.50749
                   1.216                       180.25003
                   1.219                       180.39457
                   1.222                       180.93106
                   1.225                       181.85085
                   1.228                        183.1457
               1.2309999                       184.80085
                   1.234                       186.80445
                   1.237                       189.13753
                    1.24                       191.77656
                   1.243                        194.6975
               1.2460001                       197.86856
                   1.249                       201.25336
                   1.252                       204.80601
                   1.255                       208.47074
                   1.258                       212.19155
                   1.261                       215.89849
               1.2640001                        219.5205
                   1.267                       222.97732
                    1.27                       226.18619
                   1.273                        229.0632
                   1.276                       231.52979
                   1.279                       233.51573
               1.2819999                       234.95359
                   1.285                       235.80037
                   1.288                       236.01977
                   1.291                       235.60054
                   1.294                       234.55113
               1.2970001                       232.89696
                     1.3                       230.67884
                   1.303                       227.95528
                   1.306                       224.79934
                   1.309                       221.28201
                   1.312                       217.48703
               1.3150001                       213.49319
                   1.318                       209.37656
                   1.321                       205.21031
                   1.324                       201.05936
                   1.327                       196.98228
                    1.33                       193.02789
               1.3329999                       189.23754
                   1.336                       185.64833
                   1.339                       182.28563
                   1.342                       179.17094
                   1.345                       176.32029
                   1.348                       173.74431
                   1.351                       171.45216
                   1.354                       169.44631
                   1.357                       167.72868
                    1.36                       166.29895
                   1.363                       165.15283
               1.3660001                       164.28821
                   1.369                       163.69753
                   1.372                       163.37438
                   1.375                       163.31063
                   1.378                       163.49529
                   1.381                       163.91755
               1.3839999                       164.56442
                   1.387                       165.42145
                    1.39                       166.47054
                   1.393                       167.69439
                   1.396                       169.06978
                   1.399                       170.57252
                   1.402                       172.17645
                   1.405                       173.85057
                   1.408                       175.56285
                   1.411                       177.27761
                   1.414                       178.95706
               1.4170001                       180.56523
                    1.42                       182.06206
                   1.423                       183.40639
                   1.426                       184.56237
                   1.429                        185.4989
                   1.432                       186.18213
               1.4349999                       186.58649
                   1.438                       186.69597
                   1.441                       186.49846
                   1.444                        185.9875
                   1.447                       185.17076
                    1.45                        184.0583
               1.4529999                       182.66755
                   1.456                       181.02467
                   1.459                       179.15783
                   1.462                       177.10005
                   1.465                       174.88843
               1.4680001                       172.55967
                   1.471                        170.1486
                   1.474                       167.69291
                   1.477                       165.22372
                    1.48                       162.77489
                   1.483                       160.37262
               1.4859999                       158.04485
                   1.489                        155.8106
                   1.492                        153.6915
                   1.495                       151.70133
                   1.498                       149.85398
                   1.501                       148.15914
               1.5039999                       146.62539
                   1.507                       145.25681
                    1.51                       144.05943
                   1.513                       143.03333
                   1.516                       142.17901
               1.5190001                       141.49548
                   1.522                       140.97987
                   1.525                       140.62948
                   1.528                       140.43717
                   1.531                        140.3983
                   1.534                       140.50498
               1.5369999                       140.74691
                    1.54                       141.11533
                   1.543                       141.59839
                   1.546                       142.18279
                   1.549                       142.85427
                   1.552                       143.59748
               1.5549999                       144.39483
                   1.558                        145.2296
                   1.561                       146.07964
                   1.564                       146.92671
                   1.567                       147.74968
               1.5700001                       148.52725
                   1.573                       149.23782
                   1.576                       149.86146
                   1.579                       150.37939
                   1.582                       150.77366
                   1.585                       151.02955
               1.5880001                       151.13414
                   1.591                        151.0781
                   1.594                       150.85465
                   1.597                       150.46288
                     1.6                       149.90419
                   1.603                       149.18238
               1.6059999                       148.30611
                   1.609                       147.28749
                   1.612                        146.1404
                   1.615                       144.88115
                   1.618                       143.52805
               1.6210001                       142.09881
                   1.624                       140.61455
                   1.627                       139.09261
                    1.63                       137.55398
                   1.633                       136.01515
                   1.636                       134.49367
               1.6390001                       133.00593
                   1.642                       131.56496
                   1.645                       130.18393
                   1.648                       128.87467
                   1.651                       127.64635
                   1.654                       126.50639
               1.6569999                        125.4615
                    1.66                       124.51761
                   1.663                       123.67687
                   1.666                        122.9431
                   1.669                       122.31751
               1.6720001                       121.79945
                   1.675                       121.38795
                   1.678                       121.08215
                   1.681                       120.87839
                   1.684                       120.77242
                   1.687                       120.75948
               1.6900001                       120.83522
                   1.693                       120.99048
                   1.696                        121.2189
                   1.699                       121.51131
                   1.702                       121.85938
                   1.705                       122.25123
               1.7079999                       122.67753
                   1.711                       123.12472
                   1.714                       123.58213
                   1.717                       124.03565
                    1.72                       124.47335
                   1.723                       124.88193
                   1.726                       125.24893
                   1.729                       125.56113
                   1.732                       125.80876
                   1.735                       125.98063
                   1.738                       126.06716
               1.7410001                       126.06095
                   1.744                       125.95776
                   1.747                       125.75222
                    1.75                       125.44333
                   1.753                       125.03115
                   1.756                       124.51886
               1.7589999                       123.90998
                   1.762                       123.21128
                   1.765                       122.43071
                   1.768                       121.57753
                   1.771                       120.66095
                   1.774                       119.69326
                   1.777                       118.68551
                    1.78                       117.64968
                   1.783                       116.59776
                   1.786                       115.54077
                   1.789                       114.49026
               1.7920001                       113.45628
                   1.795                       112.44867
                   1.798                       111.47629
                   1.801                        110.5466
                   1.804                        109.6667
                   1.807                       108.84414
               1.8099999                       108.08169
                   1.813                       107.38471
                   1.816                       106.75652
                   1.819                       106.19927
                   1.822                       105.71367
                   1.825                       105.30141
               1.8279999                       104.96164
                   1.831                       104.69317
                   1.834                       104.49452
                   1.837                       104.36338
                    1.84                       104.29625
               1.8430001                       104.28915
                   1.846                        104.3374
                   1.849                       104.43613
                   1.852                       104.57906
                   1.855                       104.75939
                   1.858                       104.97069
               1.8609999                       105.20457
                   1.864                       105.45365
                   1.867                       105.70859
                    1.87                        105.9618
                   1.873                       106.20439
                   1.876                       106.42723
               1.8789999                       106.62226
                   1.882                       106.78133
                   1.885                       106.89655
                   1.888                       106.96011
                   1.891                       106.96805
               1.8940001                       106.91384
                   1.897                       106.79385
                     1.9                       106.60583
                   1.903                        106.3483
                   1.906                       106.02008
                   1.909                       105.62383
               1.9119999                       105.16153
                   1.915                       104.63718
                   1.918                       104.05573
                   1.921                       103.42259
                   1.924                       102.74469
                   1.927                       102.02887
               1.9299999                       101.28304
                   1.933                       100.51511
                   1.936                       99.733009
                   1.939                       98.944246
                   1.942                       98.157431
               1.9450001                       97.379318
                   1.948                       96.616839
                   1.951                        95.87674
                   1.954                        95.16484
                   1.957                       94.486475
                    1.96                       93.846028
               1.9630001                        93.24762
                   1.966                       92.694893
                   1.969                       92.189572
                   1.972                       91.735049
                   1.975                       91.331111
                   1.978                       90.979732
               1.9809999                        90.68025
                   1.984                       90.432318
                   1.987                       90.235196
                    1.99                       90.087155
                   1.993                       89.985305
               1.9960001                       89.927288
                   1.999                       89.909718
               2.0020001                       89.928876
               2.0050001                       89.980594
               2.0079999                       90.059603
               2.0109999                       90.161195
               2.0139999                       90.279803
                   2.017                       90.409497
                    2.02                       90.544289
                   2.023                        90.67796
                   2.026                       90.804196
                   2.029                       90.916655
               2.0320001                       91.009234
               2.0350001                       91.076507
               2.0380001                       91.112332
               2.0409999                       91.112124
               2.0439999                       91.071608
               2.0469999                       90.986448
                    2.05                       90.854353
                   2.053                       90.672828
                   2.056                       90.440834
                   2.059                       90.158349
                   2.062                       89.825444
               2.0650001                       89.444958
               2.0680001                       89.018078
               2.0710001                        88.54884
               2.0739999                       88.041127
               2.0769999                       87.499347
               2.0799999                       86.928041
               2.0829999                       86.333735
                   2.086                       85.720756
                   2.089                       85.096517
                   2.092                       84.465279
                   2.095                       83.833403
                   2.098                        83.20662
               2.1010001                       82.589522
               2.1040001                       81.987575
               2.1070001                       81.404983
               2.1099999                       80.846225
               2.1129999                       80.314828
               2.1159999                       79.813802
                   2.119                       79.345858
                   2.122                       78.913205
                   2.125                       78.517746
                   2.128                       78.160497
                   2.131                       77.841966
               2.1340001                       77.562586
               2.1370001                       77.322367
               2.1400001                       77.120272
               2.1429999                       76.954904
               2.1459999                       76.825099
               2.1489999                       76.728513
                   2.152                       76.662535
                   2.155                       76.624617
                   2.158                       76.611725
                   2.161                       76.619811
                   2.164                       76.645085
               2.1670001                       76.683601
               2.1700001                       76.730817
               2.1730001                       76.782089
               2.1760001                       76.832979
               2.1789999                       76.878197
               2.1819999                       76.913555
               2.1849999                        76.93444
                   2.188                       76.935964
                   2.191                       76.914451
                   2.194                       76.865537
                   2.197                       76.786537
                     2.2                       76.673853
               2.2030001                       76.525745
               2.2060001                       76.340405
               2.2090001                       76.116535
               2.2119999                       75.854464
               2.2149999                        75.55398
               2.2179999                       75.216557
                   2.221                       74.843781
                   2.224                       74.438088
                   2.227                       74.002207
                    2.23                       73.539652
                   2.233                       73.053735
               2.2360001                       72.548943
               2.2390001                       72.029649
               2.2420001                       71.499673
               2.2449999                       70.963821
               2.2479999                       70.426291
               2.2509999                       69.891396
               2.2539999                       69.363407
                   2.257                       68.845853
                    2.26                       68.342625
                   2.263                       67.856417
                   2.266                       67.390877
               2.2690001                       66.948125
               2.2720001                       66.530538
               2.2750001                       66.139703
               2.2780001                       65.777288
               2.2809999                       65.444025
               2.2839999                       65.140731
               2.2869999                       64.867587
                    2.29                       64.624632
                   2.293                       64.411046
                   2.296                       64.226259
                   2.299                       64.068768
                   2.302                       63.937285
               2.3050001                       63.829537
               2.3080001                       63.743795
               2.3110001                       63.677426
               2.3139999                       63.627397
               2.3169999                       63.590897
               2.3199999                       63.564626
                   2.323                       63.545368
                   2.326                       63.529395
                   2.329                        63.51297
                   2.332                       63.492669
                   2.335                       63.464695
               2.3380001                       63.425307
               2.3410001                        63.37127
               2.3440001                       63.299196
               2.3469999                        63.20633
               2.3499999                       63.089909
               2.3529999                       62.947456
               2.3559999                       62.777338
                   2.359                       62.578368
                   2.362                       62.349585
                   2.365                       62.090645
                   2.368                       61.801901
               2.3710001                       61.484147
               2.3740001                       61.138518
               2.3770001                       60.766895
               2.3800001                        60.37149
               2.3829999                       59.954639
               2.3859999                       59.519405
               2.3889999                       59.068853
                   2.392                       58.606412
                   2.395                       58.135024
                   2.398                       57.658449
                   2.401                       57.180264
                   2.404                       56.703349
               2.4070001                        56.23114
               2.4100001                       55.766845
               2.4130001                       55.312977
               2.4159999                       54.872258
               2.4189999                       54.447059
               2.4219999                       54.039281
                   2.425                       53.650685
                   2.428                       53.282804
                   2.431                       52.936663
                   2.434                       52.613105
                   2.437                       52.312608
               2.4400001                       52.035508
               2.4430001                       51.781507
               2.4460001                       51.550441
               2.4489999                       51.341442
               2.4519999                       51.153618
               2.4549999                       50.985788
               2.4579999                       50.836431
                   2.461                       50.703953
                   2.464                       50.586112
                   2.467                       50.480955
                    2.47                       50.386196
                   2.473                       50.299321
               2.4760001                       50.217512
               2.4790001                       50.138152
               2.4820001                       50.058431
               2.4849999                       49.975485
               2.4879999                       49.886449
               2.4909999                       49.788634
                   2.494                       49.679354
                   2.497                       49.556134
                     2.5                       49.416569
                   2.503                       49.258768
                   2.506                       49.081109
               2.5090001                       48.882031
               2.5120001                       48.660564
               2.5150001                       48.416235
               2.5179999                       48.148673
               2.5209999                       47.858159
               2.5239999                       47.545339
                   2.527                       47.211067
                    2.53                       46.856814
                   2.533                        46.48425
                   2.536                       46.095282
                   2.539                       45.692172
               2.5420001                        45.27723
               2.5450001                       44.853089
               2.5480001                        44.42229
               2.5510001                       43.987416
               2.5539999                       43.551016
               2.5569999                       43.115705
               2.5599999                       42.684011
                   2.563                       42.258013
                   2.566                       41.839971
                   2.569                       41.431901
                   2.572                       41.035344
                   2.575                       40.651989
               2.5780001                       40.282939
               2.5810001                       39.929424
               2.5840001                       39.592131
               2.5869999                       39.271613
               2.5899999                       38.968263
               2.5929999                       38.682139
                   2.596                       38.413127
                   2.599                       38.160947
                   2.602                       37.924894
                   2.605                        37.70428
                   2.608                       37.498148
               2.6110001                        37.30529
               2.6140001                       37.124407
               2.6170001                       36.954066
               2.6199999                       36.792564
               2.6229999                        36.63819
               2.6259999                       36.489067
               2.6289999                       36.343169
                   2.632                       36.198612
                   2.635                       36.053312
                   2.638                        35.90511
                   2.641                        35.75211
               2.6440001                       35.592306
               2.6470001                       35.423825
               2.6500001                       35.244973
               2.6530001                       35.054099
               2.6559999                       34.849943
               2.6589999                       34.631359
               2.6619999                       34.397367
                   2.665                       34.147447
                   2.668                       33.881283
                   2.671                       33.598823
                   2.674                       33.300313
                   2.677                       32.986304
               2.6800001                       32.657603
               2.6830001                       32.315314
               2.6860001                       31.960607
               2.6889999                       31.595084
               2.6919999                       31.220239
               2.6949999                       30.837833
                   2.698                       30.449699
                   2.701                       30.057616
                   2.704                       29.663446
                   2.707                       29.269012
                    2.71                       28.876005
               2.7130001                       28.486069
               2.7160001                       28.100762
               2.7190001                       27.721492
               2.7219999                       27.349514
               2.7249999                        26.98582
               2.7279999                       26.631501
               2.7309999                        26.28724
                   2.734                       25.953654
                   2.737                       25.631103
                    2.74                        25.31994
                   2.743                       25.020198
               2.7460001                       24.731809
               2.7490001                       24.454598
               2.7520001                       24.188185
               2.7550001                       23.932121
               2.7579999                       23.685746
               2.7609999                       23.448346
               2.7639999                       23.219084
                   2.767                       22.997003
                    2.77                       22.781093
                   2.773                       22.570258
                   2.776                       22.363371
                   2.779                       22.159185
               2.7820001                       21.956525
               2.7850001                       21.754127
               2.7880001                       21.550814
               2.7909999                       21.345378
               2.7939999                       21.136639
               2.7969999                       20.923585
                     2.8                        20.70519
                   2.803                       20.480613
                   2.806                       20.249094
                   2.809                       20.009992
                   2.812                       19.762885
               2.8150001                       19.507483
               2.8180001                        19.24362
               2.8210001                       18.971388
               2.8239999                        18.69097
